"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000000003",-0.342927438908976,6.15155814044853,12.4405278800082,0.00048228190012818,"NO"
"ENSG00000000005",-2.31349289940601,-0.83398707801693,61.5032653563635,6.84125855212994e-14,"DOWN"
"ENSG00000000419",-0.24338806352603,4.48132799084829,20.3861369191712,8.94066829748485e-06,"NO"
"ENSG00000000457",-0.00512569498733184,3.57175952703277,0.0101712538780948,0.919731309919258,"NO"
"ENSG00000000460",-0.234087906020768,2.38336095596485,6.71178899401837,0.0100211355022025,"NO"
"ENSG00000000938",-0.960107184537321,3.28674164227593,50.8061904603879,6.94178561482743e-12,"NO"
"ENSG00000000971",-2.67737284780531,4.62815535475495,172.688574669597,8.99485551713438e-32,"DOWN"
"ENSG00000001036",-1.06057574139076,4.37127451105301,76.1335028871653,1.54450639936166e-16,"DOWN"
"ENSG00000001084",0.784918434051321,6.25349517093453,50.1040704536425,9.45644623041261e-12,"NO"
"ENSG00000001167",0.242513079523373,4.92022741890405,13.6010512871437,0.000265982965905711,"NO"
"ENSG00000001460",-2.12868783562795,2.8404961631321,181.587182287008,5.08804110724584e-33,"DOWN"
"ENSG00000001461",-0.822965268970457,6.187718537339,29.1564447183943,1.31365970067035e-07,"NO"
"ENSG00000001497",0.169728291031705,5.79784157980704,4.24834158827126,0.0401053448419635,"NO"
"ENSG00000001561",0.153557289148952,5.39679482227938,1.13984490835677,0.286499383735593,"NO"
"ENSG00000001617",-1.48941091726261,2.52353900619941,70.8498797530153,1.35478089048446e-15,"DOWN"
"ENSG00000001626",0.868937386587111,1.9688573919287,11.9346769877824,0.00062616183203413,"NO"
"ENSG00000001629",0.122722877161294,7.31166756878542,2.06469620723476,0.151732907995837,"NO"
"ENSG00000001630",-0.172930436073918,1.93569687844635,1.20704143808135,0.272754022350058,"NO"
"ENSG00000001631",-0.213374306388532,2.93860373436158,7.68477169502444,0.00589872736892426,"NO"
"ENSG00000002016",0.625005962571146,3.92735808212545,29.9182364888818,9.16674896819648e-08,"NO"
"ENSG00000002330",-0.0210235473184465,3.74133959830244,0.0398381430876795,0.841925571116907,"NO"
"ENSG00000002549",-0.564290278070252,6.90874451468067,31.2855066402501,4.82269910933104e-08,"NO"
"ENSG00000002586",-0.138152471278662,8.63408794823828,0.567694540648882,0.451737047083829,"NO"
"ENSG00000002587",1.03314388810162,4.35478850924231,20.5045361366804,8.43780177061942e-06,"UP"
"ENSG00000002726",-1.10132116564042,-2.68458623101149,19.2783072570512,1.54231203353272e-05,"DOWN"
"ENSG00000002745",-4.66285783177674,0.118362870499138,262.51821019274,2.07827325077079e-43,"DOWN"
"ENSG00000002746",0.569433712888973,4.07366823925233,6.04725676100233,0.0144631017228386,"NO"
"ENSG00000002822",-1.83127284843268,-1.53356384004782,101.97534209566,5.74281516042664e-21,"DOWN"
"ENSG00000002834",0.17306019523766,7.47680221521111,6.09483866365708,0.0140856826255494,"NO"
"ENSG00000002919",0.0351107627013846,4.95711281780069,0.330041393452852,0.566042870284194,"NO"
"ENSG00000002933",-1.41961294507372,4.97079414186021,52.5462190115752,3.24376040182998e-12,"DOWN"
"ENSG00000003056",0.0640845827585765,5.7753671623078,0.451823865265915,0.501960634471853,"NO"
"ENSG00000003096",0.512220870333586,4.76843471046379,17.8884073603136,3.07076361021848e-05,"NO"
"ENSG00000003137",-1.05964233959122,3.33884892407253,17.4720079646273,3.77816179078862e-05,"DOWN"
"ENSG00000003147",-0.0771144832994062,3.51759967566702,0.422094659381843,0.516365000947468,"NO"
"ENSG00000003249",-1.46378386853169,4.91997931736096,83.7830469389029,7.02955967691083e-18,"DOWN"
"ENSG00000003393",0.0637027919285344,5.54955245971637,1.46528525845002,0.226994383314717,"NO"
"ENSG00000003400",-0.446010657821717,2.70065629916511,16.8058529489385,5.26824733704118e-05,"NO"
"ENSG00000003402",-0.565094549435161,5.73400896880983,74.5126383646761,2.99191543514098e-16,"NO"
"ENSG00000003436",-0.418544751280083,4.4124827921147,2.32948582477224,0.127943233872625,"NO"
"ENSG00000003509",-0.192342369514981,3.37489262082078,9.76613033897235,0.00194226301929832,"NO"
"ENSG00000003756",0.460142644325963,6.44498110439104,27.2613511322675,3.22597702405767e-07,"NO"
"ENSG00000003987",1.02305437562204,3.54104511221358,38.2727119701831,1.90168310418975e-09,"UP"
"ENSG00000003989",-0.805597431008856,5.21138279687045,12.5511367410626,0.000455611687194096,"NO"
"ENSG00000004059",-0.311432668573346,6.44684937611082,17.2776082286298,4.16209190312671e-05,"NO"
"ENSG00000004139",0.578958536719161,4.13623070080003,43.8015086096465,1.55406158632598e-10,"NO"
"ENSG00000004142",0.187423584243143,6.96640365793866,15.4523298421675,0.000103971353985679,"NO"
"ENSG00000004399",-0.665251563780286,6.60956545902158,38.9864402157312,1.37287981783315e-09,"NO"
"ENSG00000004455",-0.301647792413648,6.25463644126467,15.5844787362557,9.72704227001404e-05,"NO"
"ENSG00000004468",1.07007394387105,6.27399722978129,23.127585172108,2.34916656600271e-06,"UP"
"ENSG00000004478",0.440290548818734,6.5090697711457,31.0695643477807,5.33539075504187e-08,"NO"
"ENSG00000004487",0.531920452274273,6.73010893873793,34.8979578679741,8.96985015535518e-09,"NO"
