"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000000003",0.727059710870366,6.15155814044853,64.1913084561922,2.1897738550057e-14,"NO"
"ENSG00000000005",0.238084715404607,-0.83398707801693,0.641397597552597,0.423806346465653,"NO"
"ENSG00000000419",0.120869222469716,4.48132799084829,6.20602940628497,0.0132436232356375,"NO"
"ENSG00000000457",0.115207808460621,3.57175952703277,6.53212526135338,0.0110613691018152,"NO"
"ENSG00000000460",0.719390223034265,2.38336095596485,73.7254716734763,4.13288332681527e-16,"NO"
"ENSG00000000938",0.294416519361993,3.28674164227593,5.37521022308611,0.0210619362796142,"NO"
"ENSG00000000971",0.106275376277754,4.62815535475495,0.280728894309195,0.596595631851454,"NO"
"ENSG00000001036",0.344460088764232,4.37127451105301,8.90972492175667,0.00305773522669701,"NO"
"ENSG00000001084",0.302873206983837,6.25349517093453,10.2974077854027,0.00146877887373873,"NO"
"ENSG00000001167",-0.0905628656826922,4.92022741890405,2.53138676138821,0.11260053091324,"NO"
"ENSG00000001460",-1.9444338570691,2.8404961631321,179.375179836415,1.03291054158611e-32,"DOWN"
"ENSG00000001461",-1.4161283972774,6.187718537339,110.964138726525,1.93616153848064e-22,"DOWN"
"ENSG00000001497",0.138259704147581,5.79784157980704,3.65174427061678,0.0569138678436852,"NO"
"ENSG00000001561",-0.336744302309939,5.39679482227938,7.38172064726595,0.00695178365111152,"NO"
"ENSG00000001617",-0.295101467975411,2.52353900619941,3.15309870153632,0.0767442256304026,"NO"
"ENSG00000001626",-0.0185636107551953,1.9688573919287,0.0078636302193766,0.929394649549262,"NO"
"ENSG00000001629",0.181408645377739,7.31166756878542,5.78403306716231,0.0167462585862823,"NO"
"ENSG00000001630",-0.495076324486317,1.93569687844635,12.9785496177709,0.0003657624887853,"NO"
"ENSG00000001631",0.0624353615515411,2.93860373436158,0.819821627601083,0.365921164398012,"NO"
"ENSG00000002016",0.440263555466588,3.92735808212545,19.8105842120458,1.18640089597791e-05,"NO"
"ENSG00000002330",0.219160981357157,3.74133959830244,5.43605011283344,0.0203526540422344,"NO"
"ENSG00000002549",0.673595636734888,6.90874451468067,50.2463551547303,8.88024643596611e-12,"NO"
"ENSG00000002586",1.19983147462701,8.63408794823828,47.7455665575992,2.67944535727696e-11,"UP"
"ENSG00000002587",1.65129520475673,4.35478850924231,64.3068028739026,2.08769013234826e-14,"UP"
"ENSG00000002726",0.540284857477262,-2.68458623101149,4.89205396712061,0.0276947187079465,"NO"
"ENSG00000002745",-2.78317345492005,0.118362870499138,108.187489884235,5.47931259870678e-22,"DOWN"
"ENSG00000002746",-1.87213884938353,4.07366823925233,100.453039644163,1.03159050673783e-20,"DOWN"
"ENSG00000002822",-1.05874032102212,-1.53356384004782,41.9305842929237,3.60761791873229e-10,"DOWN"
"ENSG00000002834",0.188928876573477,7.47680221521111,9.36427078999966,0.00240189775685663,"NO"
"ENSG00000002919",0.125703796011425,4.95711281780069,5.39506587987354,0.0208276217497927,"NO"
"ENSG00000002933",0.594525146257344,4.97079414186021,9.67267403617647,0.00204055820271342,"NO"
"ENSG00000003056",0.412134215164455,5.7753671623078,23.2576641376217,2.20527838591096e-06,"NO"
"ENSG00000003096",0.713552793327037,4.76843471046379,44.3042862164163,1.24119094835896e-10,"NO"
"ENSG00000003137",-2.75677749148137,3.33884892407253,151.176081915352,1.15549026682305e-28,"DOWN"
"ENSG00000003147",-1.07829367890568,3.51759967566702,113.556961525978,7.34429679556118e-23,"DOWN"
"ENSG00000003249",-1.41451931945665,4.91997931736096,95.1246870767872,8.05562801657262e-20,"DOWN"
"ENSG00000003393",-0.234064465712156,5.54955245971637,26.1319916951226,5.52979114099053e-07,"NO"
"ENSG00000003400",0.602214015734532,2.70065629916511,35.2105924488551,7.76284632110183e-09,"NO"
"ENSG00000003402",0.147874334191888,5.73400896880983,6.06255119602345,0.0143404339250067,"NO"
"ENSG00000003436",1.44076436077477,4.4124827921147,28.9361095379903,1.45785662449792e-07,"UP"
"ENSG00000003509",-0.0985318194293642,3.37489262082078,3.24713080951366,0.0725001663049721,"NO"
"ENSG00000003756",0.238659732884012,6.44498110439104,9.76053971260498,0.00194799885081105,"NO"
"ENSG00000003987",-0.943446798250217,3.54104511221358,51.297050808961,5.60115649595389e-12,"NO"
