"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000000003",0.229414493864322,6.15155814044853,6.7252447354331,0.00994751623950261,"NO"
"ENSG00000000005",0.740781575649351,-0.83398707801693,5.81955311327869,0.0164177906186656,"NO"
"ENSG00000000419",-0.0653934409928061,4.48132799084829,1.84762648434952,0.175027553354366,"NO"
"ENSG00000000457",-0.100410904652284,3.57175952703277,5.06032009437771,0.0251668067711682,"NO"
"ENSG00000000460",0.444082603303009,2.38336095596485,28.9356611493988,1.45759689637233e-07,"NO"
"ENSG00000000938",0.162664371326874,3.28674164227593,1.66179509949541,0.198302732467281,"NO"
"ENSG00000000971",-0.0665254746816211,4.62815535475495,0.11170575319857,0.738431980459444,"NO"
"ENSG00000001036",1.02307309286185,4.37127451105301,73.0306896248279,5.50913000519307e-16,"UP"
"ENSG00000001084",0.334597903666948,6.25349517093453,12.5287615697687,0.000460878835441234,"NO"
"ENSG00000001167",-0.61082435053603,4.92022741890405,119.961235564292,6.9433058030707e-24,"NO"
"ENSG00000001460",0.35664807481076,2.8404961631321,5.22338659026518,0.0229463358601927,"NO"
"ENSG00000001461",0.309865965340252,6.187718537339,4.70848214918193,0.0307583099125203,"NO"
"ENSG00000001497",-0.349362791884898,5.79784157980704,24.3191958834122,1.32041089218145e-06,"NO"
"ENSG00000001561",-0.253509604257516,5.39679482227938,4.15591249254144,0.0423208133485793,"NO"
"ENSG00000001617",-0.204693909189036,2.52353900619941,1.50515899944885,0.220791586518678,"NO"
"ENSG00000001626",-0.732392078716697,1.9688573919287,12.9527949481137,0.000370659411908668,"NO"
"ENSG00000001629",0.0138970748313778,7.31166756878542,0.034472407775778,0.852824493446065,"NO"
"ENSG00000001630",-0.457971352751649,1.93569687844635,11.0776251359388,0.00097681567469618,"NO"
"ENSG00000001631",-0.0363890640282205,2.93860373436158,0.281047666350555,0.596387134598505,"NO"
"ENSG00000002016",-0.174357227161539,3.92735808212545,3.29197586897414,0.0705660144402429,"NO"
"ENSG00000002330",0.335192889839116,3.74133959830244,12.5722180608444,0.000450658291726809,"NO"
"ENSG00000002549",0.696273990810743,6.90874451468067,53.5569084790162,2.08662190427479e-12,"NO"
"ENSG00000002586",1.78955468637927,8.63408794823828,99.0027658485875,1.79999693217188e-20,"UP"
"ENSG00000002587",2.57235008840555,4.35478850924231,139.077513136096,7.51361263100878e-27,"UP"
"ENSG00000002726",0.275441922527732,-2.68458623101149,1.33388450826922,0.248986685229533,"NO"
"ENSG00000002745",-0.519532823041363,0.118362870499138,3.35051292263212,0.0681250319803926,"NO"
"ENSG00000002746",-1.22009630977596,4.07366823925233,41.7698864603253,3.88213245847278e-10,"DOWN"
"ENSG00000002822",-0.0619294661553209,-1.53356384004782,0.131167838249158,0.717465978761594,"NO"
"ENSG00000002834",-0.109011127905623,7.47680221521111,3.20272502625932,0.074471779405644,"NO"
"ENSG00000002919",0.0836498325830712,4.95711281780069,2.39848406196353,0.122452357244316,"NO"
"ENSG00000002933",1.27634670793063,4.97079414186021,41.2798820280746,4.84483441858592e-10,"UP"
"ENSG00000003056",0.289487957821937,5.7753671623078,11.6160963918144,0.000738410325726803,"NO"
"ENSG00000003096",-0.0584481140055873,4.76843471046379,0.320832720340511,0.571509310720908,"NO"
"ENSG00000003137",-0.869220672186779,3.33884892407253,14.3899718236863,0.000178009253477705,"NO"
"ENSG00000003147",-0.315277804185559,3.51759967566702,9.22838328490867,0.00258129463964582,"NO"
"ENSG00000003249",-0.347968006780546,4.91997931736096,5.40461304335475,0.0207163526472306,"NO"
"ENSG00000003393",-0.280208624375139,5.54955245971637,37.5935419418988,2.59349793851811e-09,"NO"
"ENSG00000003400",0.582805112548902,2.70065629916511,33.0451965187049,2.11930404681649e-08,"NO"
"ENSG00000003402",0.038341678122677,5.73400896880983,0.411741082003245,0.521551621305063,"NO"
"ENSG00000003436",1.25237888426823,4.4124827921147,22.3549536366628,3.41806091091445e-06,"UP"
"ENSG00000003509",-0.105068644568405,3.37489262082078,3.69450019008667,0.0554897720850621,"NO"
"ENSG00000003756",-0.079113101027234,6.44498110439104,1.10428663537082,0.29412909732479,"NO"
"ENSG00000003987",-0.530934755133125,3.54104511221358,15.8190597043577,8.64423559331313e-05,"NO"
"ENSG00000003989",0.495824991332503,5.21138279687045,5.32354437305941,0.0216847111275172,"NO"
"ENSG00000004059",-0.0588829529184653,6.44684937611082,0.768846187898487,0.381239377372096,"NO"
"ENSG00000004139",-0.342192885428027,4.13623070080003,21.7917792739078,4.49528819248641e-06,"NO"
"ENSG00000004142",-0.155356045853907,6.96640365793866,14.142353130239,0.000201860347622338,"NO"
"ENSG00000004399",0.610966995867981,6.60956545902158,36.915887256695,3.54084897499111e-09,"NO"
"ENSG00000004455",0.848536238137948,6.25463644126467,140.367776884721,4.75961258364443e-27,"NO"
"ENSG00000004468",0.934687625602787,6.27399722978129,23.6815898550288,1.79672566756322e-06,"NO"
"ENSG00000004478",0.106001733467187,6.5090697711457,2.42054082448658,0.120753076744724,"NO"
"ENSG00000004487",0.512551651797818,6.73010893873793,42.3535212780027,2.98087111537153e-10,"NO"
