"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000000003",0.0424746932244401,6.15155814044853,0.12906659268236,0.719641453408265,"NO"
"ENSG00000000005",1.68427645309387,-0.83398707801693,18.4005452923209,2.38131864734771e-05,"UP"
"ENSG00000000419",0.197461628513657,4.48132799084829,9.15088762100126,0.00268967066618341,"NO"
"ENSG00000000457",-0.0470032606004663,3.57175952703277,0.602395291655323,0.43824525520481,"NO"
"ENSG00000000460",0.286213895033613,2.38336095596485,6.83892342979741,0.00934639037466527,"NO"
"ENSG00000000938",-0.465142456520636,3.28674164227593,7.60359754125725,0.00616361208526989,"NO"
"ENSG00000000971",-0.54294580575837,4.62815535475495,4.0907669762405,0.0439593654232301,"NO"
"ENSG00000001036",0.0251012443763856,4.37127451105301,0.026850216036875,0.869945735233878,"NO"
"ENSG00000001084",-0.565215739054209,6.25349517093453,20.2612096447867,9.50770172023314e-06,"NO"
"ENSG00000001167",0.0667855073005328,4.92022741890405,0.747175783412763,0.388026604612613,"NO"
"ENSG00000001460",-1.23404537949369,2.8404961631321,35.3988751693722,7.11827149144364e-09,"DOWN"
"ENSG00000001461",-1.0084366158194,6.187718537339,28.0597386384589,2.20806177338944e-07,"DOWN"
"ENSG00000001497",-0.0352220547851538,5.79784157980704,0.131591345946325,0.717029913441654,"NO"
"ENSG00000001561",-0.931485507370786,5.39679482227938,29.9926844435758,8.85454127621839e-08,"NO"
"ENSG00000001617",0.489124560572809,2.52353900619941,4.60302451037952,0.0326765161172655,"NO"
"ENSG00000001626",0.969973460719563,1.9688573919287,11.3173232881893,0.000862338253379402,"NO"
"ENSG00000001629",-0.127032417962924,7.31166756878542,1.58401927605425,0.209110415751452,"NO"
"ENSG00000001630",0.196274961692571,1.93569687844635,1.06979186131502,0.301782224432625,"NO"
"ENSG00000001631",0.147486836427424,2.93860373436158,2.51633402211834,0.113670944914481,"NO"
"ENSG00000002016",0.193263515576933,3.92735808212545,2.16948889846805,0.141766928857537,"NO"
"ENSG00000002330",0.257538076033675,3.74133959830244,4.17747761707705,0.0417922116369934,"NO"
"ENSG00000002549",-0.0896073728051122,6.90874451468067,0.521823832300766,0.470598364704143,"NO"
"ENSG00000002586",0.157510826713533,8.63408794823828,0.509624150433542,0.475828114138306,"NO"
"ENSG00000002587",0.550602111832917,4.35478850924231,4.61343341821267,0.0324818974833398,"NO"
"ENSG00000002726",-0.346526905928766,-2.68458623101149,1.24523354334135,0.265311435498986,"NO"
"ENSG00000002745",-0.36872370504459,0.118362870499138,0.995352550977947,0.319200399035345,"NO"
"ENSG00000002746",-0.987372570980482,4.07366823925233,13.6122445359759,0.000264493231790643,"NO"
"ENSG00000002822",-0.579919318653393,-1.53356384004782,6.36929637685494,0.01210034681925,"NO"
"ENSG00000002834",0.152336472034143,7.47680221521111,3.38658487771283,0.0666652265666413,"NO"
"ENSG00000002919",0.233668111229039,4.95711281780069,10.2885652694005,0.00147554208541905,"NO"
"ENSG00000002933",-0.133035419364387,4.97079414186021,0.282635538825882,0.595352191628023,"NO"
"ENSG00000003056",-0.0236161072980017,5.7753671623078,0.043558489253183,0.834811497521705,"NO"
"ENSG00000003096",0.244507304385924,4.76843471046379,3.04344193116607,0.0820351728724491,"NO"
"ENSG00000003137",-1.05666096371634,3.33884892407253,10.8714316603282,0.00108774537079791,"DOWN"
"ENSG00000003147",-0.0081726065735279,3.51759967566702,0.00330826639619311,0.954169242104914,"NO"
"ENSG00000003249",-0.0620807495480879,4.91997931736096,0.0919567615321406,0.761903504786371,"NO"
"ENSG00000003393",-0.0297997044424553,5.54955245971637,0.22763591155009,0.633611655722789,"NO"
"ENSG00000003400",-0.566117940805361,2.70065629916511,18.1609813011342,2.68149262525894e-05,"NO"
"ENSG00000003402",-0.372842190288733,5.73400896880983,21.4990762564924,5.185296935209e-06,"NO"
"ENSG00000003436",0.578602143621609,4.4124827921147,2.94242787020879,0.0872604191118815,"NO"
"ENSG00000003509",0.0705713371905689,3.37489262082078,0.904343200645362,0.342345535760301,"NO"
"ENSG00000003756",0.230561270860869,6.44498110439104,5.07962052602091,0.0248926629875823,"NO"
"ENSG00000003987",-1.06610163120433,3.54104511221358,32.9226293124474,2.24473122306697e-08,"DOWN"
"ENSG00000003989",-1.8258077716377,5.21138279687045,40.1129938200763,8.22282531798509e-10,"DOWN"
"ENSG00000004059",0.447995455797459,6.44684937611082,24.0117761212653,1.53145369026292e-06,"NO"
"ENSG00000004139",0.433411916133076,4.13623070080003,18.385987767801,2.3982254621686e-05,"NO"
"ENSG00000004142",0.342906542420459,6.96640365793866,36.9753083001754,3.44377204698477e-09,"NO"
"ENSG00000004399",-0.0637344253357775,6.60956545902158,0.234151486637012,0.628797362542151,"NO"
"ENSG00000004455",0.36584785973426,6.25463644126467,15.4538565217632,0.000103891330923439,"NO"
"ENSG00000004468",-0.91250366605533,6.27399722978129,13.5608556781879,0.00027152545692214,"NO"
"ENSG00000004478",0.258264141584908,6.5090697711457,7.90795040764648,0.00522909916424134,"NO"
"ENSG00000004487",0.390587896723122,6.73010893873793,14.032098822703,0.00021350915100954,"NO"
"ENSG00000004534",0.104681616517329,6.59498950942732,0.704749016904977,0.401826527621064,"NO"
"ENSG00000004660",-1.29462861006565,5.17653331403436,31.600910210879,4.16134293144792e-08,"DOWN"
"ENSG00000004700",0.00403821402762697,4.24429753909521,0.000721413014471306,0.978589025413581,"NO"
"ENSG00000004766",0.0741048513767176,5.24370128023301,0.913778759374382,0.339843457743972,"NO"
"ENSG00000004776",0.265168780123241,2.54959866599995,0.898545634466241,0.343895723106778,"NO"
"ENSG00000004777",0.298354191794823,6.00311278806244,4.90357668335836,0.0275138178119097,"NO"
"ENSG00000004779",0.174323788558509,5.51007541666551,3.29047709138207,0.0706297510126691,"NO"
"ENSG00000004799",-1.18698427244548,6.5107780454721,23.3549425463482,2.10424620352099e-06,"DOWN"
"ENSG00000004838",-1.54889043168595,2.90113599889297,33.5061334639573,1.71112853942432e-08,"DOWN"
"ENSG00000004848",0.0384081087504766,2.40778677669072,0.0175510605513071,0.89468856122326,"NO"
"ENSG00000004864",0.294947690224543,4.81947885922603,9.20624725529062,0.0026117885584375,"NO"
"ENSG00000004866",0.598819860576592,5.17257888063747,27.7891051900876,2.51004215574602e-07,"NO"
"ENSG00000004897",0.0727893779327392,5.92455512666852,2.2503547479777,0.134580778356407,"NO"
"ENSG00000004939",0.556278619429576,-1.97878384789288,2.30510511997454,0.129948049797188,"NO"
"ENSG00000004948",-0.918750070081633,-1.77095174444086,7.63508682200964,0.00605941366812908,"NO"
"ENSG00000004961",0.165922126825947,4.00385517034411,4.5459156977075,0.0337671360254908,"NO"
"ENSG00000004975",0.394744737873866,5.64379792252535,28.5426567046468,1.7555677933921e-07,"NO"
"ENSG00000005007",0.084662187771087,7.08725615121652,1.74147811174753,0.187905547045811,"NO"
"ENSG00000005020",-0.551425113032033,5.11751201965557,8.90854480664908,0.00305967933139807,"NO"
"ENSG00000005022",0.283221098038062,7.47982622809134,7.74468267108096,0.00571076719833581,"NO"
"ENSG00000005059",0.523089002695232,3.77540131070975,5.84076165263164,0.0162247384167786,"NO"
"ENSG00000005073",0.0182026920890249,0.23267261543441,0.000975044640151138,0.975109237098672,"NO"
"ENSG00000005075",0.382939126629885,5.62823160408863,12.2320186647127,0.000536989621906643,"NO"
"ENSG00000005100",0.0916825890951509,5.45853862203524,1.79707541145729,0.181028029147828,"NO"
"ENSG00000005108",0.10655203681676,5.22910292585594,0.311510172744734,0.577149852031042,"NO"
"ENSG00000005156",0.300288029295693,4.87244456406328,13.6817073986028,0.000255254856953988,"NO"
"ENSG00000005175",-0.0660336453927964,4.69539083680167,0.971766422284005,0.324993132051195,"NO"
"ENSG00000005187",0.159080823133413,-1.1770385999875,1.20962680207074,0.272242009370825,"NO"
"ENSG00000005189",0.288580936785397,2.80749229594123,4.23786128813583,0.0403502242066374,"NO"
"ENSG00000005194",0.503097647799597,5.78652466029954,49.125017696545,1.45448948025361e-11,"NO"
"ENSG00000005206",0.395363321945975,5.80038771093537,7.35397499856973,0.00705735333533157,"NO"
"ENSG00000005238",-0.41306617853477,5.31661668400865,24.6690783207555,1.11564073631924e-06,"NO"
"ENSG00000005243",-0.247506789179416,3.73396360559506,1.73305041833154,0.188975055272544,"NO"
"ENSG00000005249",-0.413523649603144,4.9102714827979,7.80611945852387,0.00552457975179069,"NO"
"ENSG00000005302",-0.144555732201894,4.93839605579964,3.47368751128672,0.0632781313821996,"NO"
"ENSG00000005339",-0.050709218936357,7.24697108283695,0.279403686158533,0.597462843207283,"NO"
"ENSG00000005379",-0.702784968016292,6.46883156860029,13.9333118483017,0.000224547358779877,"NO"
"ENSG00000005381",-0.499006188464264,-0.63494468682815,2.50062712127913,0.114800019452241,"NO"
"ENSG00000005421",-1.47866080364009,0.343238796837145,24.3045451112415,1.32985849194656e-06,"DOWN"
"ENSG00000005436",-0.0213521090528065,3.88956211665635,0.0608183697111346,0.805367016548266,"NO"
"ENSG00000005448",0.469217882352695,4.43077194250472,19.8949447149447,1.13815443976372e-05,"NO"
"ENSG00000005469",0.133785933769916,4.9799733356107,1.02311168536983,0.312555091534038,"NO"
"ENSG00000005471",-0.375654072051681,1.66161047357396,4.26669649776285,0.0396802392962709,"NO"
"ENSG00000005483",0.139802172507014,6.85535107532295,2.12765869548771,0.145653375418295,"NO"
"ENSG00000005486",0.129788469923295,7.59383383579554,1.70640206702308,0.192401497764367,"NO"
"ENSG00000005513",0.598467714372008,9.44304334762455,8.06354701061979,0.00480897239801979,"NO"
"ENSG00000005700",-0.182551146629279,5.78367299202536,6.94731879338993,0.00880811111028639,"NO"
"ENSG00000005801",0.260262620906221,5.00782660876224,8.46159764722612,0.00388394233266512,"NO"
"ENSG00000005810",-0.735216306436667,6.58721837499421,36.7710907384667,3.78350946323903e-09,"NO"
"ENSG00000005812",-0.10076290013315,5.57364519427589,1.82183630639262,0.178059575179621,"NO"
"ENSG00000005844",-0.787170222806928,3.36061738248201,12.1244244660243,0.00056768799825755,"NO"
"ENSG00000005882",-0.155717077973353,5.24410894994177,3.22482053905431,0.0734836099261137,"NO"
"ENSG00000005884",0.217197850835657,5.74493877324034,0.876301147341073,0.349931030528516,"NO"
"ENSG00000005889",-0.24713699442073,5.30733249895246,6.2841145109879,0.0126835201257119,"NO"
"ENSG00000005893",-0.395077298709598,8.38772376509205,13.1335019597829,0.000337834239771664,"NO"
"ENSG00000005961",0.0653218435423992,0.887734534680672,0.0899385738661529,0.764452154864656,"NO"
"ENSG00000005981",-0.815681212513974,0.69852296290204,9.05473718554415,0.0028306461178174,"NO"
"ENSG00000006007",-0.136280136541628,6.20538069917456,3.2090118399457,0.0741891656074175,"NO"
"ENSG00000006015",0.0829674114931878,4.65516918059664,0.330213475922805,0.565941898188818,"NO"
"ENSG00000006016",-1.10969577323442,5.22019208982523,5.80514578632496,0.0165503846852827,"DOWN"
"ENSG00000006025",0.13351375376781,4.65208583170506,1.66920413289026,0.197307889382774,"NO"
"ENSG00000006042",0.498111549085281,5.67054051414914,8.36689905232689,0.00408617497021663,"NO"
"ENSG00000006047",0.372982483687611,-0.385683134349852,1.79875496685713,0.180824868743067,"NO"
"ENSG00000006059",-0.213137095300709,-2.6289941270049,0.227003045483758,0.634083923408228,"NO"
"ENSG00000006062",0.183298248226543,4.10468772227175,2.38981871616619,0.123127218631801,"NO"
"ENSG00000006071",-0.512450789429645,5.2241807222991,3.41362207452101,0.0655940807922708,"NO"
