"","Factor 1","Factor 2","Factor 3","Factor 4"
"TCGA-DU-6394",2.65655255317688,-1.10140764713287,-4.15603494644165,-3.1704580783844
"TCGA-FG-8187",0.758045554161072,1.10516786575317,1.09735381603241,-2.18213820457458
"TCGA-CS-4938",1.53880953788757,-1.16233265399933,2.33230209350586,3.4511501789093
"TCGA-DU-7007",1.27738177776337,-3.17703032493591,1.27498388290405,-2.47331476211548
"TCGA-HT-7481",0.488466143608093,2.49105954170227,-0.503955245018005,-2.85588765144348
"TCGA-DU-6401",1.67555952072144,-1.63080263137817,0.434649586677551,3.02694869041443
"TCGA-HT-7606",1.92246222496033,-1.87503528594971,-1.93227434158325,2.18198919296265
"TCGA-DU-8158",-3.03877782821655,-0.158369109034538,1.11661207675934,3.72513556480408
"TCGA-HT-7470",0.714826047420502,2.34591388702393,1.23496568202972,-2.27722358703613
"TCGA-DH-5140",-2.55097413063049,0.775689423084259,-1.04168784618378,2.57870316505432
"TCGA-28-5208",-3.73845076560974,-2.49992156028748,-2.30744671821594,-2.98482513427734
"TCGA-HT-7882",-3.28487920761108,-2.66729784011841,0.998479783535004,-2.21551775932312
"TCGA-HW-A5KL",1.96138870716095,-1.03460824489594,0.795612514019012,3.474196434021
"TCGA-HT-7604",2.21994495391846,-1.53605425357819,-0.434168249368668,-2.64221739768982
"TCGA-HW-7487",0.95197981595993,3.4229588508606,-1.09469473361969,-2.92915296554565
"TCGA-FG-6690",1.72871398925781,-0.75108677148819,1.07469022274017,-2.38749957084656
"TCGA-HT-8108",1.59965848922729,-0.656912088394165,1.77592968940735,3.39348006248474
"TCGA-19-5960",-2.81201338768005,-0.0316721796989441,-2.74481654167175,-3.35939884185791
"TCGA-E1-5318",2.31640815734863,-1.75913536548615,-4.05751419067383,2.27754688262939
"TCGA-IK-8125",1.28653502464294,1.88500189781189,-1.78491044044495,-2.76041889190674
"TCGA-HT-7880",-0.186449185013771,3.72169780731201,2.03744888305664,-1.42149317264557
"TCGA-HW-A5KK",-3.09476089477539,0.210380062460899,2.19483709335327,-1.95352947711945
"TCGA-CS-6665",0.269377619028091,-1.64698612689972,2.30416059494019,3.13998365402222
"TCGA-HT-7686",0.630645394325256,-1.45869302749634,3.12635731697083,3.79827785491943
"TCGA-26-5132",-3.09657788276672,-2.50573229789734,-2.87773752212524,-3.056321144104
"TCGA-HW-8319",1.08737289905548,1.19422078132629,1.1944237947464,3.51455354690552
"TCGA-DB-5280",1.98121654987335,-0.965970277786255,0.732770085334778,-2.09253549575806
"TCGA-E1-5322",1.74377572536469,-1.34712767601013,0.830469369888306,2.31257367134094
"TCGA-HT-7857",-2.91055178642273,-1.92888414859772,2.65823984146118,3.68886280059814
"TCGA-QH-A65Z",2.32253861427307,0.900459885597229,-1.95655226707458,-2.71914720535278
"TCGA-28-5215",-3.43819737434387,-1.21664249897003,-0.479119598865509,3.2471342086792
"TCGA-HT-7477",0.831072568893433,-1.33980572223663,-0.97776734828949,-2.22734332084656
"TCGA-HT-7608",1.13659465312958,0.607234835624695,0.47287780046463,-2.41343879699707
"TCGA-P5-A5EW",1.95761692523956,-1.22955000400543,1.94296288490295,3.43934226036072
"TCGA-FG-8185",2.32003426551819,-1.67161333560944,-0.476935684680939,-2.44427442550659
"TCGA-HT-7688",1.0528279542923,3.45419120788574,-0.535274982452393,-2.46634960174561
"TCGA-76-4925",-3.30460786819458,-2.78602409362793,-4.55142164230347,-3.39491248130798
"TCGA-DB-A64W",2.16163277626038,2.41203951835632,-4.71373891830444,2.42708587646484
"TCGA-E1-5311",1.62132275104523,1.98932015895844,-2.06661486625671,-2.6614248752594
"TCGA-DU-5855",1.32899844646454,-0.829078018665314,1.17500054836273,3.14205121994019
"TCGA-06-5414",-3.20832300186157,-3.73871254920959,-2.33643054962158,-2.92431998252869
"TCGA-HT-A616",1.24895668029785,2.7873752117157,0.591959357261658,3.50145196914673
"TCGA-HT-8114",1.50850284099579,-1.11982107162476,1.87605845928192,-2.16009736061096
"TCGA-HT-7610",0.937608182430267,3.29122829437256,0.708140432834625,3.11982870101929
"TCGA-E1-5303",1.11074769496918,-1.39852201938629,2.67208099365234,-1.75047969818115
"TCGA-HT-7482",1.17002177238464,-0.986835837364197,2.81957626342773,3.61825299263
"TCGA-CS-6186",-3.26392674446106,-1.10519313812256,-1.47367334365845,-3.06270837783813
"TCGA-DU-6402",-3.51280164718628,-2.30604219436646,-0.883846700191498,-2.60488271713257
"TCGA-P5-A5EX",0.159164413809776,-1.92504107952118,1.34091877937317,3.34847283363342
"TCGA-FG-5964",0.436856627464294,1.36203849315643,0.0852159783244133,-2.61037611961365
"TCGA-DH-A66F",2.08811902999878,-0.0554874129593372,-1.80174744129181,-2.74289441108704
"TCGA-HT-7684",1.31962132453918,-1.16186165809631,1.31871557235718,-2.16959357261658
"TCGA-FG-A60J",1.58389461040497,-0.00580187467858195,1.21635472774506,3.27592206001282
"TCGA-26-5134",-3.4945433139801,-0.554703056812286,-1.35310316085815,-2.88672208786011
"TCGA-QH-A65V",0.976313948631287,0.945172965526581,0.350478261709213,3.57755279541016
"TCGA-DU-8163",0.938186883926392,-0.362599641084671,2.24696969985962,-1.97543120384216
"TCGA-06-6698",-3.67619371414185,-0.896983623504639,0.761835217475891,1.52508366107941
"TCGA-06-5415",-3.27879023551941,-0.48983296751976,-2.04170680046082,-2.9292049407959
"TCGA-DH-A66B",1.9200347661972,-2.83710718154907,0.205268755555153,-1.95126485824585
"TCGA-06-5410",-3.78287434577942,-1.58562970161438,3.19871115684509,3.601891040802
"TCGA-DU-7302",1.67293798923492,2.75988411903381,-2.14466905593872,2.75051331520081
"TCGA-FG-8182",1.11747539043427,-0.328958213329315,1.66111481189728,-2.08921933174133
"TCGA-HW-A5KJ",1.62206602096558,0.849168837070465,-4.05393981933594,-3.14198422431946
"TCGA-HW-7490",1.61097264289856,-0.955303430557251,0.930858552455902,-2.5632541179657
"TCGA-HW-7491",2.17174863815308,0.229751855134964,-3.40607690811157,-3.43247175216675
"TCGA-E1-5302",0.412383139133453,-0.046978771686554,2.31883072853088,-1.78213763237
"TCGA-28-5207",-3.61200881004333,0.36324405670166,-0.0222190339118242,-2.68103933334351
"TCGA-CS-6666",1.98806607723236,-2.75148963928223,-0.230119720101357,-2.71176791191101
"TCGA-06-5859",-3.03608822822571,-2.30883145332336,-0.825357854366302,-3.0336229801178
"TCGA-28-5213",-3.80819725990295,-2.84819507598877,1.0624281167984,-2.34688520431519
"TCGA-HT-7620",0.243691012263298,1.07881724834442,0.452697217464447,-2.23971748352051
"TCGA-28-5218",-3.27054166793823,-3.38307929039001,-0.10173537582159,-2.67314958572388
"TCGA-DH-5141",1.32803821563721,0.0154576981440187,-1.28565669059753,-2.51287460327148
"TCGA-HT-7875",1.81714260578156,1.56969928741455,-1.70156335830688,-2.73391318321228
"TCGA-28-5209",-3.46139192581177,-3.11096215248108,-4.71169710159302,1.83973956108093
"TCGA-CS-4943",2.46778750419617,-1.73265135288239,-0.647513270378113,-2.27195763587952
"TCGA-E1-5319",0.95787900686264,0.663970708847046,-0.958516478538513,3.02662968635559
"TCGA-DH-5143",1.30693662166595,0.891095638275146,1.92882120609283,-2.02852082252502
"TCGA-HT-7855",2.66313791275024,-1.74664270877838,-0.613716006278992,-2.39508700370789
"TCGA-76-4931",-3.69693732261658,-0.667606472969055,-2.32110452651978,2.93525910377502
"TCGA-HT-7616",1.16534376144409,-1.2407945394516,-1.74589824676514,-2.68910813331604
"TCGA-CS-5395",-3.40238356590271,1.27493870258331,0.00727476039901376,-2.29957985877991
"TCGA-HT-A61B",1.39943408966064,-2.69018697738647,1.44097781181335,-2.01496982574463
"TCGA-DU-7018",2.05424380302429,0.453709483146667,-4.75425481796265,2.28948950767517
"TCGA-DB-5273",0.929730594158173,-1.87133920192719,1.93803977966309,-1.82803916931152
"TCGA-DB-A4XG",2.49517679214478,1.3288562297821,-3.42884421348572,-3.04918909072876
"TCGA-DU-5874",2.84186220169067,0.112233869731426,-4.9749550819397,2.01311302185059
"TCGA-HT-A614",1.08850026130676,0.225935593247414,1.51296830177307,-2.14289522171021
"TCGA-HT-7473",0.883909046649933,-1.42491126060486,3.78084874153137,-1.93540513515472
"TCGA-DU-7300",0.68203866481781,2.55648493766785,-0.774263501167297,3.0633819103241
"TCGA-DB-A4XB",1.28415644168854,0.871565997600555,1.04047548770905,-2.34044623374939
"TCGA-HT-7874",-0.00129011878743768,4.45668458938599,-0.105764269828796,3.24559879302979
"TCGA-DU-6393",2.7384979724884,0.216496825218201,-4.7052526473999,-3.5779345035553
"TCGA-CS-5390",1.94070994853973,1.08518803119659,-3.04614496231079,2.42536377906799
"TCGA-CS-6188",-3.56767582893372,-0.923178017139435,-0.212432131171227,-2.69147968292236
"TCGA-DB-A4XC",0.906618654727936,0.922553718090057,2.01571798324585,-2.10087323188782
"TCGA-DU-A5TY",-3.34731602668762,-1.10809731483459,1.07132828235626,3.49542784690857
"TCGA-HT-8018",-0.190247654914856,2.56838369369507,2.06484198570251,3.60136222839355
"TCGA-HT-A4DS",-3.90628814697266,-0.160253420472145,1.01277685165405,3.38131356239319
"TCGA-HW-8322",1.98823666572571,0.205559626221657,-1.85874569416046,-2.89111709594727
"TCGA-DU-8166",1.70579898357391,0.671742379665375,1.07622182369232,3.53356528282166
"TCGA-DU-7298",1.07648062705994,0.333505630493164,-0.0635238140821457,3.21565103530884
"TCGA-DU-A5TT",-3.13968992233276,0.681595981121063,0.843720018863678,-2.09950041770935
"TCGA-DB-A64V",0.548908233642578,0.144789457321167,0.67389440536499,-2.26158118247986
"TCGA-HT-7681",0.777742385864258,2.66811060905457,0.78631204366684,3.28712844848633
"TCGA-DU-8164",2.22105693817139,1.77451074123383,-2.83524322509766,-2.94969844818115
"TCGA-DU-6542",1.53218245506287,-0.392464578151703,1.28745877742767,-2.20314240455627
"TCGA-FN-7833",1.56099784374237,-2.09966707229614,2.94757199287415,-2.03988647460938
"TCGA-HT-8106",-0.370325088500977,-1.76378905773163,3.48839259147644,-1.43299961090088
"TCGA-HT-7475",1.24773001670837,2.28442668914795,-0.354197978973389,-2.84227848052979
"TCGA-DU-7008",2.55090308189392,0.704996705055237,-0.720613539218903,2.91347622871399
"TCGA-IK-7675",1.84114122390747,-2.03943181037903,-0.367634326219559,-2.79667043685913
"TCGA-HT-7677",1.93227350711823,0.167912676930428,-2.26923012733459,-2.82671451568604
"TCGA-FG-A4MX",1.8622088432312,-1.29800975322723,0.620226800441742,-2.42019820213318
"TCGA-DB-A64R",2.03770995140076,1.58501851558685,-1.55546200275421,2.78065705299377
"TCGA-DU-6403",-3.55415177345276,0.969254016876221,-0.663355827331543,2.94076156616211
"TCGA-DU-8167",1.52339673042297,-0.859196305274963,1.10749232769012,3.55195093154907
"TCGA-CS-4941",-3.41255164146423,-0.178346127271652,0.929012894630432,-2.19029879570007
"TCGA-HT-7858",1.04052233695984,-1.00192177295685,1.5708179473877,-1.9987781047821
"TCGA-DU-7306",1.69596636295319,-1.76145279407501,0.414446234703064,-2.40373778343201
"TCGA-DB-A64O",-3.28337740898132,1.88962304592133,1.97519671916962,-2.02858424186707
"TCGA-28-5216",-3.5055079460144,-1.25140202045441,-0.923131227493286,-2.79288101196289
"TCGA-HT-7605",0.580623388290405,3.06995010375977,0.320152401924133,-2.54399180412292
"TCGA-P5-A5EV",1.65773379802704,-0.864985525608063,0.259026318788528,-2.28769898414612
"TCGA-HT-A618",0.433925181627274,-0.610284388065338,2.57615208625793,3.7633171081543
"TCGA-15-1444",0.358501791954041,-1.93505227565765,1.68405210971832,-2.37252902984619
"TCGA-HT-8012",2.12961196899414,1.09630060195923,-1.45822381973267,3.01358795166016
"TCGA-FG-6689",0.930798232555389,1.59075403213501,2.71883869171143,-2.16222953796387
"TCGA-HT-7478",0.738535523414612,-0.71469259262085,2.64479184150696,-2.30632090568542
"TCGA-HT-7479",0.708720028400421,-0.362532109022141,3.03797435760498,-2.11669445037842
"TCGA-DU-7294",2.00893259048462,0.738151133060455,-2.27154064178467,2.76382374763489
"TCGA-HT-7879",1.62925124168396,-1.02387809753418,1.45376682281494,-2.06430721282959
"TCGA-DB-A64U",1.11745345592499,0.611252963542938,-0.615543246269226,3.24071526527405
"TCGA-26-5135",-3.24439573287964,-1.4490772485733,-1.13341581821442,2.94250583648682
"TCGA-DU-7019",1.20901441574097,0.0875090584158897,0.506767868995667,-2.55196714401245
"TCGA-DU-8161",-3.35643339157104,0.0209761932492256,1.34865868091583,3.75841903686523
"TCGA-DU-6408",1.15425300598145,-0.0309308413416147,1.28975367546082,3.32963109016418
"TCGA-HT-8564",-2.55106735229492,2.53100419044495,0.761569380760193,-2.35369372367859
"TCGA-06-5408",-3.94248247146606,-1.70454263687134,-1.61233806610107,2.77671241760254
"TCGA-HT-7695",1.15985643863678,3.29676032066345,-0.584868311882019,3.23457050323486
"TCGA-HW-7486",0.575333774089813,1.14129889011383,0.398044019937515,-2.81061291694641
"TCGA-DU-7299",1.69104933738708,-0.441249340772629,0.775149583816528,-2.62247228622437
"TCGA-HW-8320",2.29046821594238,-1.34823393821716,0.372711896896362,-2.0614972114563
"TCGA-HT-7469",-1.37250554561615,-2.09585475921631,-2.35908055305481,-2.839919090271
"TCGA-06-5417",1.92650377750397,-3.56117367744446,-1.82364094257355,2.33514523506165
"TCGA-HT-7601",0.461548835039139,-0.733905851840973,2.79770565032959,3.58853507041931
"TCGA-28-5204",-3.48538279533386,-2.64639544487,-2.79201483726501,-3.15354347229004
"TCGA-26-5136",-3.54596471786499,-1.73165488243103,-0.0417771488428116,3.32811307907104
"TCGA-HT-7603",0.477817952632904,3.89581108093262,0.762999534606934,-2.40864181518555
"TCGA-HT-7480",1.63619375228882,2.0208899974823,-1.3044136762619,-2.819007396698
"TCGA-HT-A5R7",0.0932193845510483,3.12928938865662,1.22346222400665,3.10400485992432
"TCGA-06-5856",-3.13619589805603,-1.97260713577271,-2.58988881111145,-3.33708477020264
"TCGA-HT-8015",-2.98303842544556,4.15323352813721,2.45020174980164,-1.73814868927002
"TCGA-HW-8321",1.08652985095978,0.191022455692291,0.772614181041718,-2.18674945831299
"TCGA-HT-A615",0.76648211479187,0.59017676115036,0.419981986284256,3.46151542663574
"TCGA-CS-6667",1.68019068241119,-0.798088908195496,0.620201349258423,2.27135610580444
"TCGA-FG-7643",-2.82237410545349,4.18352079391479,0.738298118114471,3.37514543533325
"TCGA-HT-7856",-0.0479570217430592,4.10603427886963,-0.0524915158748627,-2.51691675186157
"TCGA-FG-A60K",1.43137693405151,0.268114924430847,-0.632146120071411,3.16868591308594
"TCGA-76-4926",-3.87734055519104,0.309195041656494,0.0365570373833179,-2.6675112247467
"TCGA-HT-A619",2.64055991172791,-0.679221630096436,-6.21789836883545,-0.325311630964279
"TCGA-P5-A5EZ",0.831586122512817,-1.21912860870361,0.677230417728424,-0.76027375459671
"TCGA-32-1980",-3.32631587982178,2.04850125312805,2.33472657203674,-2.44132542610168
"TCGA-HT-7689",0.945476233959198,-0.177241548895836,1.04404759407043,3.43811893463135
"TCGA-HT-A61A",-0.589633762836456,4.64493560791016,0.948822319507599,3.61495327949524
"TCGA-HT-7680",-3.28290200233459,-0.0961783900856972,3.6131284236908,3.89861345291138
"TCGA-HT-A61C",-3.44865202903748,-0.508425056934357,-0.856810748577118,-2.55480194091797
"TCGA-DU-A5TU",1.25484216213226,-1.38234007358551,0.816930770874023,3.27491474151611
"TCGA-HT-7472",1.46671140193939,-1.0439133644104,1.45095789432526,-2.32939767837524
"TCGA-DU-6410",3.02102446556091,0.895811498165131,-5.39024496078491,-3.68827843666077
"TCGA-DU-5851",0.156219303607941,2.87141251564026,1.89993381500244,3.47830319404602
"TCGA-CS-4944",0.740771114826202,-0.129940778017044,1.28466522693634,-2.20018744468689
"TCGA-HW-7489",0.731353104114532,3.17523717880249,1.03125441074371,-2.49235343933105
"TCGA-DU-7290",-3.56219148635864,-0.839241147041321,1.85572254657745,3.77161002159119
"TCGA-DB-A4XA",0.928264141082764,0.839655756950378,-0.236959159374237,-2.65935802459717
"TCGA-HT-7860",-3.11791396141052,-0.41352704167366,-0.315303266048431,3.36372017860413
"TCGA-CS-5396",1.41194820404053,-0.565078675746918,-2.68472862243652,2.50593376159668
"TCGA-P5-A5F2",0.999125778675079,1.75858449935913,0.994525790214539,3.32523894309998
