"","Factor 1","Factor 2","Factor 3","Factor 4"
"ENSG00000129824",-0.0330203175544739,-0.0308673921972513,0.0579903498291969,-0.356265693902969
"ENSG00000012817",-0.0126006016507745,-0.011457409709692,0.0729250386357307,-0.356821149587631
"ENSG00000067048",-0.0161295104771852,-0.0136885475367308,0.0681776255369186,-0.358575910329819
"ENSG00000114374",-0.0206116195768118,-0.0134922983124852,0.0695017576217651,-0.361144661903381
"ENSG00000198692",-0.0239443834871054,-0.0202199649065733,0.0636860653758049,-0.356319069862366
"ENSG00000183878",-0.0197846926748753,-0.019282253459096,0.0692592486739159,-0.36268812417984
"ENSG00000067646",-0.0254113562405109,-0.0230592153966427,0.0611652806401253,-0.359954684972763
"ENSG00000134184",-0.0563947632908821,-0.0237095262855291,0.0289161093533039,4.3678537622327e-06
"ENSG00000188257",-0.286492824554443,-0.138602301478386,-0.0416193120181561,1.34558349600411e-05
"ENSG00000165246",-0.0144404172897339,-0.00796211324632168,0.0622861124575138,-0.343579441308975
"ENSG00000133110",-0.31050968170166,-0.0662782713770866,-0.084228903055191,2.4080143248284e-06
"ENSG00000173432",-0.26675283908844,-0.118920303881168,-0.0462124422192574,1.04798210998069e-07
"ENSG00000133048",-0.357185155153275,-0.0678767710924149,-0.0237887352705002,1.32213381220936e-05
"ENSG00000012223",-0.278110533952713,-0.105854712426662,0.0230944212526083,7.89056514349795e-07
"ENSG00000029559",-0.22945362329483,-0.140235856175423,-0.021669015288353,1.68793837929115e-06
"ENSG00000180818",-0.298541575670242,-0.131829604506493,-0.0871698781847954,-2.49432150667417e-06
"ENSG00000106004",-0.299482643604279,-0.162260457873344,-0.0586559511721134,4.22995071858168e-06
"ENSG00000168779",-0.299681454896927,-0.140044137835503,-0.0964773520827293,4.63514510329333e-07
"ENSG00000119973",0.289443612098694,0.187010779976845,0.0685321837663651,1.91489831991021e-07
"ENSG00000099725",0.0288525298237801,-0.0168374683707952,0.0491610132157803,-0.336013227701187
"ENSG00000128714",-0.257532238960266,-0.13691458106041,-0.0974749848246574,-5.17279113410041e-05
"ENSG00000128710",-0.247228488326073,-0.142235338687897,-0.112454913556576,-1.40813779125892e-06
"ENSG00000105997",-0.300022184848785,-0.153982371091843,-0.0947408005595207,2.29760121328582e-06
"ENSG00000253293",-0.207007944583893,-0.222812041640282,0.0173202995210886,-4.67655127067701e-06
"ENSG00000163064",-0.273273259401321,-0.105862498283386,-0.0636342465877533,3.14761450681544e-06
"ENSG00000154620",-0.00735734775662422,0.00325275538489223,0.0863215029239655,-0.356469333171844
"ENSG00000089116",0.215194180607796,0.12488130480051,-0.130997762084007,7.12026894689188e-06
"ENSG00000105996",-0.302596628665924,-0.151375561952591,-0.0904143825173378,-2.62457604094379e-07
"ENSG00000106511",-0.342544972896576,-0.013175874017179,-0.10127329826355,-8.94670449724799e-07
"ENSG00000106031",-0.0125849507749081,-0.212983652949333,0.127941817045212,-1.25109600048745e-05
"ENSG00000128709",-0.174478441476822,-0.18562875688076,-0.0344387330114841,4.91524986045988e-07
"ENSG00000176294",0.256399214267731,-0.140407294034958,0.194502234458923,-1.73050182183943e-06
"ENSG00000171540",-0.328363716602325,-0.0946525782346725,-0.114980407059193,1.21024481813947e-06
"ENSG00000197430",0.00123267469462007,0.324398577213287,0.177156686782837,-1.36950975502259e-05
"ENSG00000183072",-0.239609897136688,-0.182924255728722,-0.0674119144678116,1.42438636885345e-06
"ENSG00000170561",0.274295568466187,-0.0582119561731815,0.185047283768654,-0.000206934695597738
"ENSG00000122592",-0.258696675300598,-0.164625331759453,-0.033947266638279,-7.90857995980332e-07
"ENSG00000204542",-0.303938090801239,-0.0670768171548843,-0.0724209100008011,6.50228116683138e-07
"ENSG00000121742",-0.0227593760937452,0.37208953499794,0.133522048592567,-5.43732357982663e-06
"ENSG00000135903",-0.292113840579987,-0.0615986026823521,-0.0676167458295822,3.95564683230987e-07
"ENSG00000107807",0.201079741120338,0.0933274477720261,-0.167893290519714,-9.42059614317259e-06
"ENSG00000257017",-0.227084994316101,-0.121105968952179,-0.0210468638688326,3.3605067528697e-06
"ENSG00000183090",0.265896737575531,0.0499138385057449,0.227443501353264,-4.86166527480236e-06
"ENSG00000164794",0.000756051216740161,0.431575953960419,0.00322910584509373,9.25324911804637e-07
"ENSG00000005073",-0.106352567672729,-0.239906162023544,0.0734538286924362,-2.32053116633324e-06
"ENSG00000123388",-0.294145733118057,-0.113976031541824,-0.110221341252327,-4.40947296738159e-05
"ENSG00000154478",0.0197655819356441,0.433246642351151,0.00171606929507107,1.60257502557215e-06
"ENSG00000180806",-0.281293660402298,-0.141664490103722,-0.0898238345980644,-5.3687481340603e-06
"ENSG00000124102",-0.17498055100441,-0.125669077038765,-0.040573988109827,1.87756916147919e-06
"ENSG00000186493",0.258582472801208,-0.0618252232670784,0.182753831148148,-0.000197101529920474
"ENSG00000128713",-0.295060932636261,-0.132635533809662,-0.102678656578064,-2.00472095457371e-05
"ENSG00000164107",-0.111573807895184,-0.199220925569534,0.0342632606625557,9.80604454525746e-06
"ENSG00000120093",-0.305090874433517,-0.15236859023571,-0.0311842430382967,-1.07233390735928e-05
"ENSG00000172987",0.242785766720772,0.154562562704086,0.199627161026001,-9.99203912215307e-05
"ENSG00000156076",-0.0476123951375484,0.320674866437912,0.100369177758694,1.25920605569263e-05
"ENSG00000125813",0.28337237238884,-0.00450536515563726,0.0289779659360647,-9.55516156864178e-07
"ENSG00000123364",-0.27338308095932,-0.13182932138443,-0.0947872251272202,-8.0010067904368e-05
"ENSG00000089225",-0.0158387254923582,0.0781986862421036,-0.187542304396629,1.05757389974315e-05
"ENSG00000205809",0.275461763143539,0.0270379614084959,0.0243148300796747,0.000163629825692624
"ENSG00000197757",-0.266801327466965,-0.133396789431572,-0.0627744868397713,-1.96225551007956e-06
"ENSG00000136231",-0.256147176027298,-0.179211065173149,-0.0511348843574524,1.41209568482736e-06
"ENSG00000184302",-0.174160942435265,-0.0735324844717979,-0.0158556327223778,7.72939165472053e-06
"ENSG00000100985",-0.20241516828537,-0.165861025452614,-0.115279085934162,4.30756131208909e-07
"ENSG00000152034",-0.00332711543887854,0.448922544717789,0.0159263741225004,-3.45195900308681e-07
"ENSG00000164600",0.0107546858489513,0.441925436258316,0.0534094572067261,-9.59693625190994e-06
"ENSG00000145423",0.243847221136093,0.0900725647807121,0.219915822148323,-4.41614702140214e-06
"ENSG00000170549",0.0990132838487625,-0.105034507811069,0.156829014420509,-0.000191399667528458
"ENSG00000159184",-0.238314226269722,-0.100383549928665,-0.131322398781776,-1.40979511797923e-06
"ENSG00000104888",0.00749182887375355,0.422293782234192,0.0418249703943729,-1.3665410278918e-06
