"","Factor 1","Factor 2","Factor 3","Factor 4"
"IDH1",2.04265308380127,0.000109639433503617,0.703136384487152,1.23649269880843e-05
"PLEKHG4B",-2.42397277361306e-06,-1.27260773297166e-05,-2.50100765697425e-05,9.13036546990043e-06
"DNAH8",-1.46590127769741e-05,-6.11836439929903e-05,-2.56011244346155e-05,6.87218289385783e-06
"FRMPD4",4.03252715841518e-06,-6.29460919299163e-06,-1.27050079754554e-05,-4.51870164397405e-06
"NF1",-0.000700175587553531,-1.41337695822585e-05,1.1808585441031e-05,1.32941768242745e-05
"FUBP1",0.000242700043600053,0.000197341127204709,-0.00205426570028067,-6.21304025116842e-06
"WDFY3",9.99755570774141e-07,-2.24872792387032e-06,-7.72972089180257e-06,-5.3546177696262e-06
"HDAC2",3.53414293385867e-06,-1.39486810439848e-05,-4.41704796685372e-05,-5.56400573259452e-06
"NOTCH1",0.0025841889437288,0.000347534165484831,-0.0186931490898132,-7.75740409153514e-06
"PIK3R1",3.21270954373176e-06,-1.16459477794706e-05,-3.81032732548192e-05,-3.39125035679899e-05
"PLCE1",-5.43670967090293e-06,-1.64026787388138e-05,-3.79529211613772e-07,7.18667888577329e-06
"OR5D16",-2.74071771855233e-06,-1.24288426377461e-05,1.36374490011804e-06,9.76673732111522e-07
"LRRIQ1",-1.99645069187682e-06,-9.43521263252478e-06,-4.47420143245836e-06,-5.804630021089e-08
"NOS1",-1.58830498548923e-05,-1.59814389917301e-05,-1.75997029145947e-05,-7.61576575314393e-06
"ACADS",-1.18103071145015e-05,-1.33034800455789e-05,1.24401049106382e-06,7.11667098585167e-07
"TP53",0.489199876785278,-0.0515896007418633,0.673738062381744,-2.47019161179196e-05
"MUC16",-1.58828752319096e-05,-7.3703849921003e-05,-1.06151310319547e-05,-9.16652334126411e-06
"RALGAPA2",1.09136840364954e-06,1.4436054698308e-05,-2.80555036624719e-06,-4.00197450289852e-06
"LAMA5",-1.00551078503486e-05,-1.81387315478787e-06,5.47343597645522e-06,-6.71345424052561e-06
"PIK3CA",-6.77476782584563e-06,4.26065635110717e-05,-0.000475372653454542,2.26393581215234e-06
"LAMA2",1.07237561053353e-07,-6.06678759140777e-06,-1.53486905674072e-06,-7.33600154489977e-06
"DCAF12L1",-1.0352763638366e-05,-6.33882700640243e-06,4.54862674814649e-06,9.98539508145768e-06
"ELTD1",5.56239456273033e-07,2.40797580772778e-05,-2.65619496531144e-06,-3.76517618860817e-06
"PTEN",-0.229093611240387,-0.000104393191577401,-0.00013337611744646,4.37730193425523e-07
"PGR",-4.76862442155834e-06,3.88237322113127e-06,2.52132144851203e-06,-2.98344048133004e-06
"ABCC9",-7.40385121389409e-06,-2.36763025895925e-05,-3.6375527997734e-05,-5.71057216802728e-06
