"","Factor 1","Factor 2","Factor 3","Factor 4"
"TCGA-DU-6394",2.67654061317444,-1.20291113853455,-4.2618236541748,-3.17419075965881
"TCGA-FG-8187",0.765366315841675,1.1710364818573,1.08685421943665,-2.15051221847534
"TCGA-CS-4938",1.54443383216858,-1.18492746353149,2.41028380393982,3.43590998649597
"TCGA-DU-7007",1.28211939334869,-3.29251384735107,1.35246014595032,-2.41891694068909
"TCGA-HT-7481",0.497074395418167,2.59285521507263,-0.578549385070801,-2.8375301361084
"TCGA-DU-6401",1.68277752399445,-1.69680261611938,0.478913277387619,2.99991822242737
"TCGA-HT-7606",1.93666505813599,-1.97757613658905,-1.97629916667938,2.13473320007324
"TCGA-DU-8158",-3.05710768699646,-0.145518034696579,1.1446715593338,3.68930721282959
"TCGA-HT-7470",0.720281839370728,2.46322727203369,1.23447918891907,-2.24155688285828
"TCGA-DH-5140",-2.56408929824829,0.79198557138443,-1.08301413059235,2.53158044815063
"TCGA-28-5208",-3.76507019996643,-2.63315391540527,-2.27673077583313,-2.95318913459778
"TCGA-HT-7882",-3.31039094924927,-2.76321482658386,1.09913325309753,-2.16136169433594
"TCGA-HW-A5KL",1.97663187980652,-1.06244027614594,0.783856511116028,3.43188786506653
"TCGA-HT-7604",2.2332751750946,-1.60894215106964,-0.430236637592316,-2.60998201370239
"TCGA-HW-7487",0.964906871318817,3.56468558311462,-1.19784581661224,-2.91891360282898
"TCGA-FG-6690",1.73408651351929,-0.770611584186554,1.13325703144073,-2.33911538124084
"TCGA-HT-8108",1.61042892932892,-0.662146866321564,1.79565894603729,3.36400294303894
"TCGA-19-5960",-2.8301248550415,-0.0734806880354881,-2.79087495803833,-3.3410747051239
"TCGA-E1-5318",2.33074808120728,-1.88596415519714,-4.1180944442749,2.21420359611511
"TCGA-IK-8125",1.30268156528473,1.9517343044281,-1.90261960029602,-2.75905537605286
"TCGA-HT-7880",-0.185327038168907,3.90940093994141,2.02213478088379,-1.39548552036285
"TCGA-HW-A5KK",-3.11253046989441,0.255803197622299,2.2328565120697,-1.90910661220551
"TCGA-CS-6665",0.268001645803452,-1.68311309814453,2.39169526100159,3.13046026229858
"TCGA-HT-7686",0.631599545478821,-1.47517442703247,3.22660350799561,3.78745174407959
"TCGA-26-5132",-3.11798501014709,-2.64960646629333,-2.88503479957581,-3.03466320037842
"TCGA-HW-8319",1.09952700138092,1.26800942420959,1.15632688999176,3.46843671798706
"TCGA-DB-5280",1.99475109577179,-0.997061312198639,0.733285903930664,-2.06170964241028
"TCGA-E1-5322",1.75551748275757,-1.39555776119232,0.85148549079895,2.29204034805298
"TCGA-HT-7857",-2.9301118850708,-1.97473621368408,2.75151753425598,3.67527961730957
"TCGA-QH-A65Z",2.33908820152283,0.910176336765289,-2.02342891693115,-2.70872354507446
"TCGA-28-5215",-3.4603955745697,-1.27326452732086,-0.453491985797882,3.20824503898621
"TCGA-HT-7477",0.838881731033325,-1.4098379611969,-1.00985717773438,-2.21082615852356
"TCGA-HT-7608",1.13915121555328,0.635860800743103,0.50402969121933,-2.37364482879639
"TCGA-P5-A5EW",1.96653747558594,-1.25689029693604,1.99747753143311,3.41734933853149
"TCGA-FG-8185",2.33434414863586,-1.75120890140533,-0.474156379699707,-2.4150333404541
"TCGA-HT-7688",1.06273353099823,3.59825491905212,-0.596513092517853,-2.45033049583435
"TCGA-76-4925",-3.32434225082397,-2.9611234664917,-4.61052227020264,-3.38866901397705
"TCGA-DB-A64W",2.18217897415161,2.45748805999756,-4.88226985931396,2.33609008789062
"TCGA-E1-5311",1.63551878929138,2.0459406375885,-2.15695905685425,-2.65718030929565
"TCGA-DU-5855",1.33431017398834,-0.849909365177155,1.2247759103775,3.11868524551392
"TCGA-06-5414",-3.23471617698669,-3.92179751396179,-2.28281950950623,-2.88888549804688
"TCGA-HT-A616",1.25668370723724,2.90470480918884,0.581457078456879,3.45797634124756
"TCGA-HT-8114",1.51766502857208,-1.1420978307724,1.92270195484161,-2.11275744438171
"TCGA-HT-7610",0.94820100069046,3.44789218902588,0.647783160209656,3.07156372070312
"TCGA-E1-5303",1.1094434261322,-1.42893874645233,2.79367876052856,-1.68863344192505
"TCGA-HT-7482",1.17728161811829,-0.98900306224823,2.88189911842346,3.60028576850891
"TCGA-CS-6186",-3.28289747238159,-1.1638480424881,-1.49735307693481,-3.03672742843628
"TCGA-DU-6402",-3.53913116455078,-2.41518592834473,-0.827799379825592,-2.56513690948486
"TCGA-P5-A5EX",0.151133850216866,-1.9943345785141,1.46193790435791,3.33796691894531
"TCGA-FG-5964",0.441416293382645,1.41854739189148,0.064329132437706,-2.58091068267822
"TCGA-DH-A66F",2.1049792766571,-0.0805959776043892,-1.87800335884094,-2.73328900337219
"TCGA-HT-7684",1.32291865348816,-1.20123767852783,1.39933490753174,-2.11814761161804
"TCGA-FG-A60J",1.59060060977936,0.00693579809740186,1.25163877010345,3.24810862541199
"TCGA-26-5134",-3.52576661109924,-0.612789452075958,-1.30128753185272,-2.84675812721252
"TCGA-QH-A65V",0.979866445064545,0.982567489147186,0.367818862199783,3.5374915599823
"TCGA-DU-8163",0.942464292049408,-0.350751757621765,2.29434013366699,-1.92830181121826
"TCGA-06-6698",-3.70657849311829,-0.938337564468384,0.821732401847839,1.5219349861145
"TCGA-06-5415",-3.2927348613739,-0.535082638263702,-2.116943359375,-2.91858887672424
"TCGA-DH-A66B",1.92588639259338,-2.95971155166626,0.27748903632164,-1.91035330295563
"TCGA-06-5410",-3.81444549560547,-1.61653423309326,3.36057114601135,3.6064236164093
"TCGA-DU-7302",1.68646800518036,2.85089182853699,-2.23847413063049,2.68466091156006
"TCGA-FG-8182",1.12475085258484,-0.321656465530396,1.68327951431274,-2.04898262023926
"TCGA-HW-A5KJ",1.63508725166321,0.825743436813354,-4.15310049057007,-3.14419794082642
"TCGA-HW-7490",1.62199795246124,-0.98181015253067,0.952058494091034,-2.52112245559692
"TCGA-HW-7491",2.18877196311951,0.197017893195152,-3.51140117645264,-3.42872738838196
"TCGA-E1-5302",0.408742547035217,-0.0268054772168398,2.41112112998962,-1.72784316539764
"TCGA-28-5207",-3.63737821578979,0.372411787509918,0.00877783354371786,-2.64079022407532
"TCGA-CS-6666",2.00016045570374,-2.87193369865417,-0.210976675152779,-2.67443132400513
"TCGA-06-5859",-3.05833911895752,-2.41574811935425,-0.775075614452362,-2.989262342453
"TCGA-28-5213",-3.84010553359985,-2.95674538612366,1.19479382038116,-2.28420829772949
"TCGA-HT-7620",0.248322904109955,1.13727247714996,0.421574592590332,-2.21512007713318
"TCGA-28-5218",-3.29925966262817,-3.52986884117126,0.0120414430275559,-2.61640310287476
"TCGA-DH-5141",1.33283746242523,-0.00534990429878235,-1.27639019489288,-2.48583102226257
"TCGA-HT-7875",1.83541107177734,1.61553871631622,-1.81422007083893,-2.73137283325195
"TCGA-28-5209",-3.48741984367371,-3.30230259895325,-4.71617889404297,1.7896808385849
"TCGA-CS-4943",2.48265314102173,-1.81782853603363,-0.651472866535187,-2.24721169471741
"TCGA-E1-5319",0.962097585201263,0.675478279590607,-0.964105308055878,2.98178744316101
"TCGA-DH-5143",1.31687808036804,0.951704561710358,1.94073212146759,-1.98969757556915
"TCGA-HT-7855",2.6800057888031,-1.83015096187592,-0.622566401958466,-2.36959028244019
"TCGA-76-4931",-3.71836352348328,-0.722412526607513,-2.37342286109924,2.87431621551514
"TCGA-HT-7616",1.16899979114532,-1.31932771205902,-1.74159157276154,-2.66335725784302
"TCGA-CS-5395",-3.42417573928833,1.32677221298218,0.0118477810174227,-2.26945090293884
"TCGA-HT-A61B",1.40437698364258,-2.78941798210144,1.5144704580307,-1.96631789207458
"TCGA-DU-7018",2.07040643692017,0.411697536706924,-4.87328577041626,2.2101936340332
"TCGA-DB-5273",0.926886260509491,-1.92920827865601,2.05594611167908,-1.76995539665222
"TCGA-DB-A4XG",2.5136821269989,1.33918762207031,-3.53941297531128,-3.05150461196899
"TCGA-DU-5874",2.86127662658691,0.0475856326520443,-5.09872198104858,1.93521916866302
"TCGA-HT-A614",1.0951806306839,0.251745700836182,1.5337461233139,-2.10306024551392
"TCGA-HT-7473",0.887680053710938,-1.43604612350464,3.87146782875061,-1.87158846855164
"TCGA-DU-7300",0.685542821884155,2.65613985061646,-0.801041781902313,3.01469707489014
"TCGA-DB-A4XB",1.28906607627869,0.913027048110962,1.05824947357178,-2.30124163627625
"TCGA-HT-7874",0.00394820421934128,4.64884757995605,-0.182279050350189,3.18796181678772
"TCGA-DU-6393",2.76253271102905,0.164668694138527,-4.85942316055298,-3.58940291404724
"TCGA-CS-5390",1.95765244960785,1.09408271312714,-3.16116333007812,2.35439991950989
"TCGA-CS-6188",-3.59618449211121,-0.966354310512543,-0.142646297812462,-2.64415526390076
"TCGA-DB-A4XC",0.913143515586853,0.985939919948578,2.02546286582947,-2.06112146377563
"TCGA-DU-A5TY",-3.36069703102112,-1.12962162494659,1.05525350570679,3.45316934585571
"TCGA-HT-8018",-0.196162641048431,2.70162630081177,2.121746301651,3.57838916778564
"TCGA-HT-A4DS",-3.93749761581421,-0.164572894573212,1.10612821578979,3.36272478103638
"TCGA-HW-8322",2.00961685180664,0.195245355367661,-1.98835790157318,-2.89090967178345
"TCGA-DU-8166",1.71751475334167,0.713830709457397,1.07349026203156,3.49390721321106
"TCGA-DU-7298",1.08898890018463,0.352442771196365,-0.117061905562878,3.16336035728455
"TCGA-DU-A5TT",-3.15805745124817,0.719358623027802,0.852838814258575,-2.0664689540863
"TCGA-DB-A64V",0.546581983566284,0.155597239732742,0.733273267745972,-2.21686625480652
"TCGA-HT-7681",0.785398781299591,2.79036617279053,0.756624221801758,3.24346137046814
"TCGA-DU-8164",2.2427351474762,1.82078623771667,-2.97856879234314,-2.95683288574219
"TCGA-DU-6542",1.54249477386475,-0.392118006944656,1.30269241333008,-2.16487050056458
"TCGA-FN-7833",1.56967067718506,-2.15187048912048,3.02193260192871,-1.98257887363434
"TCGA-HT-8106",-0.378118962049484,-1.79359328746796,3.6206579208374,-1.3686603307724
"TCGA-HT-7475",1.25925135612488,2.37460923194885,-0.413143962621689,-2.82000923156738
"TCGA-DU-7008",2.57166481018066,0.726922392845154,-0.788704991340637,2.85857129096985
"TCGA-IK-7675",1.85565733909607,-2.12550902366638,-0.39104700088501,-2.76777672767639
"TCGA-HT-7677",1.94774830341339,0.148762121796608,-2.36477637290955,-2.82254481315613
"TCGA-FG-A4MX",1.86966788768768,-1.35561168193817,0.665951728820801,-2.37650108337402
"TCGA-DB-A64R",2.05490589141846,1.62913405895233,-1.64872419834137,2.71773052215576
"TCGA-DU-6403",-3.57360792160034,1.00768911838531,-0.691354691982269,2.8937509059906
"TCGA-DU-8167",1.52826797962189,-0.885790705680847,1.1701934337616,3.52565312385559
"TCGA-CS-4941",-3.43419528007507,-0.173519149422646,0.965593636035919,-2.15000605583191
"TCGA-HT-7858",1.04681098461151,-1.02255856990814,1.60582876205444,-1.957563996315
"TCGA-DU-7306",1.7054477930069,-1.82822835445404,0.446593403816223,-2.36418676376343
"TCGA-DB-A64O",-3.30190277099609,1.99400949478149,1.99106645584106,-1.9889280796051
"TCGA-28-5216",-3.5326783657074,-1.32285594940186,-0.866715669631958,-2.7508590221405
"TCGA-HT-7605",0.587110698223114,3.2055037021637,0.276716023683548,-2.51872634887695
"TCGA-P5-A5EV",1.6681535243988,-0.898601531982422,0.262508630752563,-2.25635004043579
"TCGA-HT-A618",0.432851135730743,-0.604229390621185,2.65956878662109,3.74648928642273
"TCGA-15-1444",0.35412123799324,-1.9991409778595,1.7823771238327,-2.31293559074402
"TCGA-HT-8012",2.1503438949585,1.1295200586319,-1.56674122810364,2.94507503509521
"TCGA-FG-6689",0.935965240001678,1.6943519115448,2.7571120262146,-2.11200642585754
"TCGA-HT-7478",0.738996684551239,-0.710695743560791,2.73416614532471,-2.24418830871582
"TCGA-HT-7479",0.709285318851471,-0.339879214763641,3.12634086608887,-2.05505776405334
"TCGA-DU-7294",2.02521085739136,0.742630779743195,-2.35825562477112,2.69856905937195
"TCGA-HT-7879",1.63983118534088,-1.04546940326691,1.47556340694427,-2.02558565139771
"TCGA-DB-A64U",1.12852597236633,0.631700336933136,-0.676953136920929,3.18350267410278
"TCGA-26-5135",-3.26620244979858,-1.52740502357483,-1.13018894195557,2.8993706703186
"TCGA-DU-7019",1.21572029590607,0.0980642810463905,0.529738187789917,-2.51191711425781
"TCGA-DU-8161",-3.37676167488098,0.0435157157480717,1.37767541408539,3.72361350059509
"TCGA-DU-6408",1.16140043735504,-0.0176123324781656,1.30915689468384,3.29823899269104
"TCGA-HT-8564",-2.56343793869019,2.65652537345886,0.724127471446991,-2.32740116119385
"TCGA-06-5408",-3.97071886062622,-1.80310571193695,-1.58381819725037,2.73825740814209
"TCGA-HT-7695",1.17172741889954,3.42931914329529,-0.660916447639465,3.17462587356567
"TCGA-HW-7486",0.580962061882019,1.19803667068481,0.383013129234314,-2.77570295333862
"TCGA-DU-7299",1.70708310604095,-0.439871728420258,0.744867086410522,-2.59101486206055
"TCGA-HW-8320",2.30715918540955,-1.39949810504913,0.366575568914413,-2.03437542915344
"TCGA-HT-7469",-1.37630653381348,-2.20776844024658,-2.43165636062622,-2.83152437210083
"TCGA-06-5417",1.92529833316803,-3.74671459197998,-1.73122453689575,2.31465291976929
"TCGA-HT-7601",0.462479382753372,-0.72651880979538,2.87154102325439,3.57315945625305
"TCGA-28-5204",-3.51014304161072,-2.79141044616699,-2.77726626396179,-3.12564253807068
"TCGA-26-5136",-3.57016921043396,-1.80413472652435,-0.000772211118601263,3.29370212554932
"TCGA-HT-7603",0.48202446103096,4.06382513046265,0.745707392692566,-2.3772919178009
"TCGA-HT-7480",1.6549414396286,2.09898567199707,-1.42613279819489,-2.81510353088379
"TCGA-HT-A5R7",0.0965512245893478,3.2816333770752,1.19693541526794,3.06564974784851
"TCGA-06-5856",-3.15507841110229,-2.08873891830444,-2.61462259292603,-3.31385827064514
"TCGA-HT-8015",-2.99963974952698,4.35820007324219,2.45463800430298,-1.70192682743073
"TCGA-HW-8321",1.09842991828918,0.212398782372475,0.74342405796051,-2.16065716743469
"TCGA-HT-A615",0.769380033016205,0.617330729961395,0.427188575267792,3.42120552062988
"TCGA-CS-6667",1.69242227077484,-0.821625351905823,0.623976349830627,2.24661946296692
"TCGA-FG-7643",-2.83530592918396,4.37497234344482,0.700336158275604,3.32820844650269
"TCGA-HT-7856",-0.0434626825153828,4.28801202774048,-0.12638458609581,-2.50030088424683
"TCGA-FG-A60K",1.44803833961487,0.276159793138504,-0.718569338321686,3.10715627670288
"TCGA-76-4926",-3.90242552757263,0.31955286860466,0.0539128743112087,-2.62993979454041
"TCGA-HT-A619",2.66336798667908,-0.789767205715179,-6.38655376434326,-0.389397501945496
"TCGA-P5-A5EZ",0.837525010108948,-1.25889432430267,0.689327418804169,-0.744420766830444
"TCGA-32-1980",-3.35355496406555,2.15772533416748,2.42409825325012,-2.37931084632874
"TCGA-HT-7689",0.952472686767578,-0.171309679746628,1.06295442581177,3.40389895439148
"TCGA-HT-A61A",-0.597510755062103,4.85072422027588,0.951608836650848,3.57462787628174
"TCGA-HT-7680",-3.31085419654846,-0.0596515350043774,3.75074982643127,3.89665055274963
"TCGA-HT-A61C",-3.47083163261414,-0.54303365945816,-0.849997401237488,-2.52566027641296
"TCGA-DU-A5TU",1.2648059129715,-1.43229389190674,0.834737956523895,3.24131631851196
"TCGA-HT-7472",1.47537553310394,-1.06760609149933,1.48631155490875,-2.28452515602112
"TCGA-DU-6410",3.04253506660461,0.857560753822327,-5.53480052947998,-3.70002102851868
"TCGA-DU-5851",0.163043305277824,3.02517676353455,1.86964952945709,3.43805646896362
"TCGA-CS-4944",0.742452085018158,-0.123691208660603,1.33931863307953,-2.15390706062317
"TCGA-HW-7489",0.736867725849152,3.3221640586853,1.01868391036987,-2.45752358436584
"TCGA-DU-7290",-3.58986926078796,-0.85275936126709,1.95158267021179,3.75312066078186
"TCGA-DB-A4XA",0.929373204708099,0.865495324134827,-0.219824090600014,-2.62316513061523
"TCGA-HT-7860",-3.13431167602539,-0.429207772016525,-0.329839110374451,3.31597995758057
"TCGA-CS-5396",1.41889011859894,-0.624921500682831,-2.72236800193787,2.4517993927002
"TCGA-P5-A5F2",1.0039576292038,1.84330689907074,0.999212443828583,3.28928422927856
"TCGA-HT-7694",0.373327791690826,4.34765768051147,-0.96562534570694,-2.63063740730286
"TCGA-DU-6395",1.58215415477753,-0.847850143909454,1.82771348953247,-2.4182071685791
"TCGA-FG-7641",1.36306476593018,3.28504633903503,-1.52565431594849,-2.67103028297424
"TCGA-HT-8111",0.739469170570374,-0.141160726547241,2.32775044441223,-1.67020106315613
"TCGA-DU-8168",2.79111385345459,1.17087602615356,-4.96385097503662,2.23451685905457
"TCGA-HT-7607",-0.31670206785202,4.07842636108398,0.118199929594994,3.19044733047485
"TCGA-28-5220",-3.80329132080078,-2.13888335227966,-0.48504826426506,-2.65384125709534
"TCGA-HT-8013",1.33877754211426,-1.88448429107666,2.55219674110413,3.5223925113678
"TCGA-P5-A5F0",1.16704511642456,3.37570285797119,-2.03564405441284,-2.4916627407074
"TCGA-12-5295",-3.12687230110168,-4.11735439300537,-2.18959355354309,3.14752006530762
"TCGA-FG-A4MU",-3.46039533615112,-2.64023089408875,-1.65141618251801,-2.43310856819153
"TCGA-DB-5276",-0.01015938911587,1.63611304759979,3.06998038291931,-1.68065214157104
"TCGA-DB-A64P",1.89612293243408,-0.241914004087448,-1.53253734111786,-2.55338931083679
"TCGA-DU-7292",-2.84246063232422,3.43602800369263,-1.64321970939636,-3.00625944137573
"TCGA-HT-7676",1.55258846282959,-1.4283903837204,2.45419478416443,-1.59240794181824
"TCGA-DB-5277",1.50911712646484,0.00799519196152687,-0.230117455124855,-2.14013242721558
"TCGA-CS-6668",2.7841169834137,0.570218980312347,-4.09109354019165,2.28725123405457
"TCGA-32-5222",-3.38589215278625,-2.9725079536438,-1.93120157718658,-2.79812359809875
"TCGA-FG-8188",1.66173815727234,-1.37389135360718,0.977207005023956,-2.11449003219604
