"","Factor 1","Factor 2","Factor 3","Factor 4"
"ENSG00000278783",0.236677512526512,0.099155068397522,-0.0756297931075096,-2.06342917863367e-07
"ENSG00000276733",0.132302358746529,0.218221053481102,-0.0350487977266312,1.1993516864095e-06
"ENSG00000266019",-0.0311573669314384,-0.0194503720849752,-0.0446881018579006,6.94135906087467e-07
"ENSG00000207816",0.138175442814827,0.245736509561539,-0.0900535956025124,1.12835243726295e-06
"ENSG00000207744",-0.0575613640248775,-0.0659478381276131,-0.0512254275381565,1.45591195632733e-06
"ENSG00000278267",-0.0895632952451706,-0.07636758685112,-0.0627352371811867,-0.000268149422481656
"ENSG00000221025",0.172140821814537,0.129007533192635,-0.0165240131318569,-9.75480134002282e-07
"ENSG00000207559",0.149464026093483,0.0102135725319386,0.115680314600468,-8.39635958982399e-07
"ENSG00000207736",0.017175480723381,0.168620362877846,0.112140089273453,-1.13249243440805e-05
"ENSG00000275110",-0.153032869100571,-0.0719055980443954,-0.0438585430383682,6.71855318046255e-08
"ENSG00000199161",-0.0640992373228073,0.0320984460413456,-0.0170081332325935,-4.13755105910241e-06
"ENSG00000283971",0.103620916604996,0.0157311260700226,-0.0189189352095127,1.21867799407482e-06
"ENSG00000265465",0.0570262707769871,-0.0379997864365578,0.0546899922192097,-1.3304821550264e-05
"ENSG00000264357",-0.114933602511883,-0.00153594394214451,-0.00924757774919271,-1.14896329250769e-06
"ENSG00000266174",0.211956202983856,0.0414169505238533,-0.0241862889379263,-1.90972718883131e-06
"ENSG00000264266",0.0637973472476006,-0.028695996850729,-0.117298848927021,-2.13795942727302e-06
"ENSG00000265660",0.052981898188591,0.0688682496547699,0.173998147249222,2.91327546619868e-06
"ENSG00000284266",0.167094215750694,0.0726153552532196,0.0553018525242805,3.73294096789323e-06
"ENSG00000265215",-0.0125707928091288,0.341977685689926,0.0482513308525085,-7.14266604973091e-07
"ENSG00000208028",-0.0538777634501457,-0.0782272666692734,0.0202660895884037,2.59057372886673e-07
"ENSG00000207870",-0.127033695578575,-0.0153224356472492,0.0736693292856216,3.79562243324472e-06
"ENSG00000266721",0.159661054611206,0.00379736465401947,-0.157330200076103,-3.36564494318736e-06
"ENSG00000264370",-0.0977919697761536,-0.00513525865972042,-0.106172204017639,1.22007588743145e-06
"ENSG00000207933",-0.0179277919232845,-0.00523837190121412,-0.0569154694676399,3.07946470456955e-06
"ENSG00000221598",0.0493097901344299,0.1951664686203,0.0500653609633446,-7.45973102311837e-06
"ENSG00000266189",0.116569995880127,0.0216244980692863,-0.0500003769993782,9.72764269135951e-08
"ENSG00000278108",0.0875134840607643,0.093906544148922,-0.0405679009854794,-4.08300138587947e-06
"ENSG00000207971",0.0445136912167072,-0.0224549863487482,0.00599211547523737,9.75683069555089e-05
"ENSG00000199038",-0.0894134193658829,-0.0411276146769524,-0.0713925957679749,2.92148541802817e-07
