"","Factor 1","Factor 2","Factor 3","Factor 4"
"ENSG00000129824",-0.0328779220581055,-0.0298540685325861,0.0609768144786358,-0.360745966434479
"ENSG00000012817",-0.0124911116436124,-0.0109876627102494,0.0750527381896973,-0.361338406801224
"ENSG00000067048",-0.0160337705165148,-0.0132219074293971,0.0705640986561775,-0.363120973110199
"ENSG00000114374",-0.0204818677157164,-0.013007203117013,0.0718441233038902,-0.365727931261063
"ENSG00000198692",-0.0238242000341415,-0.0195467080920935,0.0662665963172913,-0.360840171575546
"ENSG00000183878",-0.0196636952459812,-0.0185517910867929,0.0716307610273361,-0.367307662963867
"ENSG00000067646",-0.0253052655607462,-0.0223056618124247,0.0638305991888046,-0.364532202482224
"ENSG00000134184",-0.055876474827528,-0.0222912319004536,0.0291838683187962,4.99835959999473e-06
"ENSG00000188257",-0.284913182258606,-0.133328303694725,-0.0385420173406601,1.53110740939155e-05
"ENSG00000165246",-0.0143708791583776,-0.00775517988950014,0.0646234378218651,-0.347880929708481
"ENSG00000133110",-0.309022933244705,-0.0646224990487099,-0.0812613740563393,2.73647833637369e-06
"ENSG00000173432",-0.265323847532272,-0.11454976350069,-0.0434480719268322,1.20815755622061e-07
"ENSG00000133048",-0.355012357234955,-0.0651672258973122,-0.0216448847204447,1.50359910549014e-05
"ENSG00000012223",-0.276180803775787,-0.100878335535526,0.0242038518190384,9.10992696390167e-07
"ENSG00000029559",-0.22813469171524,-0.134640917181969,-0.0188102871179581,1.92465427062416e-06
"ENSG00000180818",-0.297179073095322,-0.12751778960228,-0.083489328622818,-2.84354860013991e-06
"ENSG00000106004",-0.297927618026733,-0.156162574887276,-0.0555876344442368,4.80619473819388e-06
"ENSG00000168779",-0.298360526561737,-0.13545498251915,-0.0929166600108147,5.20818105087528e-07
"ENSG00000119973",0.288022339344025,0.180016726255417,0.0648107975721359,2.20296342945403e-07
"ENSG00000099725",0.0285712275654078,-0.0165059920400381,0.0515420325100422,-0.340242147445679
"ENSG00000128714",-0.256503313779831,-0.132588520646095,-0.0934615284204483,-5.8764147979673e-05
"ENSG00000128710",-0.246354296803474,-0.137907713651657,-0.108251988887787,-1.61344837579236e-06
"ENSG00000105997",-0.298701196908951,-0.148825138807297,-0.0907916277647018,2.60657725448254e-06
"ENSG00000253293",-0.205602616071701,-0.213116124272346,0.0195745136588812,-5.27138263350935e-06
"ENSG00000163064",-0.271898955106735,-0.102270372211933,-0.0610293969511986,3.57499880010437e-06
"ENSG00000154620",-0.00719230016693473,0.00329362181946635,0.0879888013005257,-0.360998511314392
"ENSG00000089116",0.212970525026321,0.117374457418919,-0.129271104931831,8.00651741883485e-06
"ENSG00000105996",-0.301234573125839,-0.14626806974411,-0.0864491984248161,-3.01879168773667e-07
"ENSG00000106511",-0.340947687625885,-0.0138543797656894,-0.099114254117012,-1.02999126738723e-06
"ENSG00000106031",-0.011749810539186,-0.202150240540504,0.127608701586723,-1.40444926728378e-05
"ENSG00000128709",-0.173580318689346,-0.178444743156433,-0.0313278622925282,5.54370615191146e-07
"ENSG00000176294",0.25590592622757,-0.131817385554314,0.191900953650475,-1.9267158677394e-06
"ENSG00000171540",-0.326965808868408,-0.0922526717185974,-0.111448653042316,1.36777975967561e-06
"ENSG00000197430",0.00241636158898473,0.313900142908096,0.169048547744751,-1.54508506966522e-05
"ENSG00000183072",-0.238529518246651,-0.176264643669128,-0.0631912276148796,1.62444587203936e-06
"ENSG00000170561",0.273653358221054,-0.0532862953841686,0.181802704930305,-0.000229465353186242
"ENSG00000122592",-0.257226139307022,-0.158045560121536,-0.0316283702850342,-9.09279833649634e-07
"ENSG00000204542",-0.302426606416702,-0.0652109310030937,-0.0697328299283981,7.39480640277179e-07
"ENSG00000121742",-0.0216785315424204,0.358768850564957,0.126157715916634,-6.14383543506847e-06
"ENSG00000135903",-0.290650755167007,-0.0598994977772236,-0.0650020763278008,4.50107989991011e-07
"ENSG00000107807",0.198698490858078,0.0865620002150536,-0.16432623565197,-1.08097920019645e-05
"ENSG00000257017",-0.225752934813499,-0.116274498403072,-0.0186357665807009,3.82369307772024e-06
"ENSG00000183090",0.265595942735672,0.0511751435697079,0.221938118338585,-5.44703470950481e-06
"ENSG00000164794",0.000922392995562404,0.413750618696213,-0.000683740130625665,1.02360479559138e-06
"ENSG00000005073",-0.10525519400835,-0.228725001215935,0.0747773051261902,-2.60617275671393e-06
"ENSG00000123388",-0.292951673269272,-0.110755562782288,-0.106305859982967,-5.02405237057246e-05
"ENSG00000154478",0.0198081284761429,0.415313512086868,-0.00228673778474331,1.78232744474371e-06
"ENSG00000180806",-0.280059427022934,-0.136984542012215,-0.086017943918705,-6.11846689935192e-06
"ENSG00000124102",-0.174147695302963,-0.121167495846748,-0.0362749435007572,2.14390274777543e-06
"ENSG00000186493",0.258018672466278,-0.0568135641515255,0.179862558841705,-0.000218636749195866
"ENSG00000128713",-0.29382398724556,-0.128563106060028,-0.0984985083341599,-2.28036042244639e-05
"ENSG00000164107",-0.11067321896553,-0.190354809165001,0.0359260812401772,1.11949266283773e-05
"ENSG00000120093",-0.303318649530411,-0.146321922540665,-0.0285566691309214,-1.22091860248474e-05
"ENSG00000172987",0.242506876587868,0.151113390922546,0.192809268832207,-0.0001111332749133
"ENSG00000156076",-0.0465822964906693,0.308982640504837,0.0943736433982849,1.43545985338278e-05
"ENSG00000125813",0.281681895256042,-0.00414642272517085,0.0288224332034588,-1.07673668026109e-06
"ENSG00000123364",-0.272240787744522,-0.127688616514206,-0.0908176228404045,-9.07640205696225e-05
"ENSG00000089225",-0.0169049073010683,0.0720414370298386,-0.183794796466827,1.18644466056139e-05
"ENSG00000205809",0.273826450109482,0.0259696897119284,0.0234474465250969,0.000185464872629382
"ENSG00000197757",-0.265489161014557,-0.128679305315018,-0.0593662932515144,-2.23112510866486e-06
"ENSG00000136231",-0.25483301281929,-0.17228227853775,-0.0481529422104359,1.60067202159553e-06
"ENSG00000184302",-0.173112750053406,-0.0706397816538811,-0.0148890111595392,8.76871399668744e-06
"ENSG00000100985",-0.201867058873177,-0.160709962248802,-0.110238082706928,4.85822454265872e-07
"ENSG00000152034",-0.0031032613478601,0.430645942687988,0.0103813651949167,-3.97490111936349e-07
"ENSG00000164600",0.0111261503770947,0.424462169408798,0.0470255166292191,-1.09047614387237e-05
"ENSG00000145423",0.243646487593651,0.0895171239972115,0.213980332016945,-4.95300355396466e-06
"ENSG00000170549",0.0993151217699051,-0.0984836146235466,0.154594004154205,-0.000212446830119006
"ENSG00000159184",-0.237615138292313,-0.0981325954198837,-0.126628622412682,-1.61565844791767e-06
"ENSG00000104888",0.00779400998726487,0.405430912971497,0.0357000157237053,-1.54786982875521e-06
"ENSG00000188162",0.0863666608929634,0.191278889775276,-0.0610563531517982,4.2151350498898e-06
"ENSG00000134028",-0.122579351067543,-0.175382420420647,-0.109033539891243,-1.99162423086818e-05
"ENSG00000123496",-0.292031288146973,0.0173431839793921,-0.0518817827105522,9.73139594862005e-06
"ENSG00000006116",0.0298599563539028,0.42400911450386,0.0232558827847242,-6.91570335220604e-07
"ENSG00000143355",-0.0401343479752541,-0.102078050374985,0.0361304506659508,4.89307603857014e-06
"ENSG00000164326",-0.105265080928802,0.398540079593658,0.0777023062109947,-3.79682523998781e-06
"ENSG00000037965",-0.277874410152435,-0.128364488482475,-0.0883729681372643,-3.22817527376174e-06
"ENSG00000149948",-0.292980551719666,-0.106890358030796,-0.0556898191571236,3.22915099104648e-07
"ENSG00000166862",0.216407477855682,0.296089082956314,-0.0642368048429489,1.56252244778443e-05
"ENSG00000079931",-0.35635769367218,0.0913120284676552,-0.000479573267512023,-3.79368566427729e-06
"ENSG00000142700",-0.307436883449554,-0.048494353890419,-0.0393940843641758,-2.25205876631662e-05
"ENSG00000185559",-0.11173352599144,-0.00330427475273609,-0.0322604775428772,2.40757458414009e-07
"ENSG00000277586",-0.0113046038895845,0.416130930185318,0.0218807272613049,-3.48949924955377e-06
"ENSG00000175879",-0.0346429049968719,-0.196054607629776,0.0230063796043396,-1.64120660883782e-06
"ENSG00000022355",0.0400789119303226,0.433245211839676,0.0133881429210305,-2.43286717704905e-06
"ENSG00000163206",0.305442810058594,-0.0278706829994917,0.126437187194824,-7.64656022056442e-07
"ENSG00000161798",-0.386679261922836,0.11377115547657,-0.0522684715688229,4.00847011405858e-06
"ENSG00000175084",-0.290537297725677,0.0648458376526833,-0.0724349021911621,7.61789988246164e-06
"ENSG00000119283",0.191318511962891,0.215606361627579,-0.177759528160095,2.74429999080894e-06
"ENSG00000145451",0.261618584394455,0.197545245289803,0.0239515788853168,-1.60875981691788e-06
"ENSG00000275385",-0.0626709163188934,-0.136778995394707,-0.0517149157822132,-2.10627913475037e-05
