"","Factor 1","Factor 2","Factor 3","Factor 4"
"IDH1",1.9582040309906,9.66233419603668e-05,0.647595167160034,1.22839537652908e-05
"PLEKHG4B",-2.65733933701995e-06,-1.08102603917359e-05,-2.73916175501654e-05,8.30907720228424e-06
"DNAH8",-1.6275747839245e-05,-5.06681717524771e-05,-2.63130586972693e-05,6.33105037195492e-06
"FRMPD4",4.46916237706318e-06,-5.39893289897009e-06,-1.38123514261679e-05,-4.2257302084181e-06
"NF1",-0.00077279849210754,-1.13443575173733e-05,1.38617579068523e-05,1.24599291666527e-05
"FUBP1",0.000268955831415951,0.000154206762090325,-0.00240213540382683,-6.43207295070169e-06
"WDFY3",1.12510929284326e-06,-1.93323239727761e-06,-8.64282628754154e-06,-4.99596808367642e-06
"HDAC2",3.92992842535023e-06,-1.20800286822487e-05,-4.80815433547832e-05,-5.30530314790667e-06
"NOTCH1",0.00280828610993922,0.000265897979261354,-0.0232691038399935,-7.77199875301449e-06
"PIK3R1",3.51828498423856e-06,-1.02354770206148e-05,-3.99049567931797e-05,-3.22945343214087e-05
"PLCE1",-6.00500652581104e-06,-1.33917592393118e-05,-4.68641957240834e-07,6.62610136714648e-06
"OR5D16",-3.03347223962191e-06,-1.01299719972303e-05,1.59437229285686e-06,9.15907719445386e-07
"LRRIQ1",-2.20962942876213e-06,-7.80060508986935e-06,-4.81531424156856e-06,-7.06428338048681e-08
"NOS1",-1.75728564499877e-05,-1.34124911710387e-05,-1.88989233720349e-05,-7.09560617906391e-06
"ACADS",-1.30709167933674e-05,-1.0814328561537e-05,1.49937943660916e-06,6.73728436595411e-07
"TP53",0.488568007946014,-0.0307993702590466,0.659976959228516,-2.3630269424757e-05
"MUC16",-1.76108060259139e-05,-6.03778753429651e-05,-1.06253255580668e-05,-8.44415353640215e-06
"RALGAPA2",1.21258631224919e-06,1.17675899673486e-05,-3.16797923005652e-06,-3.71308169633267e-06
"LAMA5",-1.11375493361265e-05,-1.34641209115216e-06,6.1057126004016e-06,-6.15577346252394e-06
"PIK3CA",-7.45803936297307e-06,3.30375733028632e-05,-0.000519367342349142,1.63034144406993e-06
"LAMA2",1.26471618955293e-07,-4.96850634590373e-06,-1.72216164173733e-06,-6.78394599162857e-06
"DCAF12L1",-1.14532085717656e-05,-5.04302715853555e-06,4.92980689159594e-06,9.2513664640137e-06
"ELTD1",6.22325103449839e-07,1.96613691514358e-05,-3.04008494822483e-06,-3.49674996868998e-06
"PTEN",-0.228290319442749,-8.61820080899633e-05,-0.000141001437441446,1.46479180784809e-07
"PGR",-5.27609063283307e-06,3.21824882121291e-06,2.70172495220322e-06,-2.74152694146323e-06
"ABCC9",-8.19555680209305e-06,-1.9962828446296e-05,-3.88808039133437e-05,-5.37973392056301e-06
"GABRB3",-5.45594866707688e-06,-2.1544417450059e-06,2.40364715864416e-06,4.30277532359469e-06
"GRIN2A",-1.96814271475887e-05,-2.58220497926231e-05,-1.46960985603073e-06,-8.51927234180039e-06
