"","GBMvsASTRO","GBMvsOLIGO","ASTROvsOLIGO","GBM","LGG"
"ENSG00000124140","DOWN","DOWN","NO",0,0
"ENSG00000149927","NO","DOWN","NO",0.141,0.037
"ENSG00000125814","DOWN","DOWN","NO",0,0
"ENSG00000144550","DOWN","DOWN","NO",0.004,0
"ENSG00000172782","DOWN","DOWN","NO",0,0
"ENSG00000163995","NO","NO","NO",0,0
"ENSG00000174514","DOWN","DOWN","NO",0,0
"ENSG00000004660","NO","NO","NO",0.202,0.071
"ENSG00000196972","DOWN","DOWN","NO",0,0
"ENSG00000145990","NO","DOWN","NO",0,0
"ENSG00000107954","DOWN","DOWN","NO",0,0
"ENSG00000122733","DOWN","DOWN","NO",0.003,0
"ENSG00000198626","DOWN","DOWN","NO",0,0
"ENSG00000073670","DOWN","DOWN","NO",0,0
"ENSG00000167281","DOWN","DOWN","NO",0,0
"ENSG00000070808","DOWN","DOWN","NO",0.001,0
"ENSG00000132639","DOWN","DOWN","NO",0,0
"ENSG00000166448","DOWN","DOWN","NO",0,0
"ENSG00000168830","DOWN","DOWN","NO",0.002,0
"ENSG00000160396","DOWN","DOWN","NO",0.006,0
"ENSG00000130540","DOWN","DOWN","NO",0,0
"ENSG00000186732","DOWN","DOWN","NO",0,0
"ENSG00000158856","NO","NO","NO",0.446,0.28
"ENSG00000168490","DOWN","DOWN","NO",0,0
"ENSG00000184368","DOWN","DOWN","NO",0.014,0
"ENSG00000020129","NO","NO","NO",0.017,0.001
"ENSG00000153933","NO","DOWN","NO",0,0
"ENSG00000124507","DOWN","DOWN","NO",0,0
"ENSG00000106089","NO","NO","NO",0.429,0.263
"ENSG00000186377","NO","DOWN","NO",0,0
