"","P_Value"
"ENSG00000269190",0
"ENSG00000106538",0
"ENSG00000109944",0
"ENSG00000234465",0
"ENSG00000161798",0
"ENSG00000173040",0
"ENSG00000158156",0
"ENSG00000141198",0
"ENSG00000172638",0
"ENSG00000114115",0
"ENSG00000169515",0
"ENSG00000164687",0
"ENSG00000125845",0
"ENSG00000165118",0
"ENSG00000104611",0
"ENSG00000044090",0
"ENSG00000196503",0
"ENSG00000154240",0
"ENSG00000255150",0
"ENSG00000109113",0
"ENSG00000100228",0
"ENSG00000142227",0
"ENSG00000138771",0
"ENSG00000215845",0
"ENSG00000119431",0
"ENSG00000164309",0
"ENSG00000168140",0
"ENSG00000164327",0
"ENSG00000012211",0
"ENSG00000165406",0
"ENSG00000124140",7.51783812980023e-09
"ENSG00000149927",0.140519515882699
"ENSG00000125814",7.82670174226396e-08
"ENSG00000144550",0.0040906566219614
"ENSG00000172782",1.94778874232915e-05
"ENSG00000163995",1.49207083799396e-07
"ENSG00000174514",1.04988151505836e-09
"ENSG00000004660",0.202488626219855
"ENSG00000196972",1.12432529952855e-09
"ENSG00000145990",1.10444986489711e-12
"ENSG00000107954",0.000114207878245121
"ENSG00000122733",0.00313690621274743
"ENSG00000198626",1.93134894588276e-06
"ENSG00000073670",0.000316936863017148
"ENSG00000167281",8.45660208526056e-11
"ENSG00000070808",0.00128910237456936
"ENSG00000132639",4.91038665284549e-09
"ENSG00000166448",1.49478587618823e-07
"ENSG00000168830",0.00212054808973383
"ENSG00000160396",0.00615201858864156
"ENSG00000130540",5.26446234994093e-06
"ENSG00000186732",1.23131204332605e-06
"ENSG00000158856",0.445803677488803
"ENSG00000168490",2.36705920531044e-07
"ENSG00000184368",0.0139913194096847
"ENSG00000020129",0.0171717903247061
"ENSG00000153933",4.58247756629504e-07
"ENSG00000124507",2.14909107898453e-06
"ENSG00000106089",0.429305071991207
"ENSG00000186377",3.77226462576763e-05
"ENSG00000162711",0.82958023922664
"ENSG00000174004",0.597362467731897
"ENSG00000120594",0.200794278921828
"ENSG00000182578",0.271551748274275
"ENSG00000123095",0.117133735391213
"ENSG00000087253",2.49394850415641e-06
"ENSG00000142583",0.000775798461995492
"ENSG00000169252",0.000836115311845131
"ENSG00000182557",0.494795748365628
"ENSG00000148908",0.0153705190624678
"ENSG00000105122",0.00116015921680501
"ENSG00000181631",0.300721064643429
"ENSG00000042980",0.0736543092303465
"ENSG00000198223",0.0428131289438554
"ENSG00000110876",0.0919539838021218
"ENSG00000185811",0.000714437513003596
"ENSG00000169896",2.80203771740872e-07
"ENSG00000184574",4.98870628599102e-05
"ENSG00000140968",0.0731944846004178
"ENSG00000165025",1.55377043780103e-05
"ENSG00000023892",1.92804212972852e-06
"ENSG00000128815",0.179986413457069
"ENSG00000129667",2.79196246000257e-06
"ENSG00000134516",0.000291036906079678
"ENSG00000137841",0.00357270610194738
"ENSG00000165685",1.11177550019548e-05
"ENSG00000183160",0.000147748564085615
"ENSG00000077420",1.2044166869396e-06
"ENSG00000095585",0.00081438756494856
"ENSG00000104043",0.0164202623929709
