"","P_Value"
"ENSG00000269190",0
"ENSG00000106538",0
"ENSG00000109944",0
"ENSG00000234465",0
"ENSG00000161798",0
"ENSG00000173040",0
"ENSG00000158156",0
"ENSG00000141198",0
"ENSG00000172638",0
"ENSG00000114115",0
"ENSG00000169515",0
"ENSG00000164687",0
"ENSG00000125845",0
"ENSG00000165118",0
"ENSG00000104611",0
"ENSG00000044090",0
"ENSG00000196503",0
"ENSG00000154240",0
"ENSG00000255150",0
"ENSG00000109113",0
"ENSG00000100228",0
"ENSG00000142227",0
"ENSG00000138771",0
"ENSG00000215845",0
"ENSG00000119431",0
"ENSG00000164309",0
"ENSG00000168140",0
"ENSG00000164327",0
"ENSG00000012211",0
"ENSG00000165406",0
"ENSG00000124140",2.22044604925031e-16
"ENSG00000149927",0.0366668443906091
"ENSG00000125814",2.8199664825479e-14
"ENSG00000144550",4.69732359406061e-05
"ENSG00000172782",1.44861700412946e-09
"ENSG00000163995",9.9253938401489e-14
"ENSG00000174514",0
"ENSG00000004660",0.0707796465716543
"ENSG00000196972",0
"ENSG00000145990",0
"ENSG00000107954",4.60703872828816e-08
"ENSG00000122733",2.85252376790446e-05
"ENSG00000198626",1.4844792062263e-11
"ENSG00000073670",3.30163414496987e-07
"ENSG00000167281",0
"ENSG00000070808",5.1276259200872e-06
"ENSG00000132639",1.11022302462516e-16
"ENSG00000166448",9.89208714941014e-14
"ENSG00000168830",1.3217811180799e-05
"ENSG00000160396",0.000103861674524364
"ENSG00000130540",1.10685904886054e-10
"ENSG00000186732",6.34037267133181e-12
"ENSG00000158856",0.279732633663962
"ENSG00000168490",2.45026221534772e-13
"ENSG00000184368",0.000498576951844965
"ENSG00000020129",0.000736797454832461
"ENSG00000153933",9.00945984483315e-13
"ENSG00000124507",1.89651627735543e-11
"ENSG00000106089",0.262846273132037
"ENSG00000186377",5.15751774621265e-09
"ENSG00000162711",0.760244585497334
"ENSG00000174004",0.453860442506506
"ENSG00000120594",0.0697343550073617
"ENSG00000182578",0.119036363441749
"ENSG00000123095",0.0264394785651358
"ENSG00000087253",2.46890285993118e-11
"ENSG00000142583",1.88339365037038e-06
"ENSG00000169252",2.1700867932628e-06
"ENSG00000182557",0.333047489355108
"ENSG00000148908",0.000590803554918251
"ENSG00000105122",4.11357197727114e-06
"ENSG00000181631",0.142313775134774
"ENSG00000042980",0.0112122891938256
"ENSG00000198223",0.00408546618520322
"ENSG00000110876",0.0168928638876877
"ENSG00000185811",1.59801644938895e-06
"ENSG00000169896",3.42059713887011e-13
"ENSG00000184574",8.8879675841369e-09
"ENSG00000140968",0.0110686081555238
"ENSG00000165025",9.00825303240538e-10
"ENSG00000023892",1.53265178326478e-11
"ENSG00000128815",0.0573109291968564
"ENSG00000129667",3.07439629310124e-11
"ENSG00000134516",2.7951268621873e-07
"ENSG00000137841",3.66408656895523e-05
"ENSG00000165685",4.63633575975564e-10
"ENSG00000183160",7.44170016719892e-08
"ENSG00000077420",5.85476112036076e-12
"ENSG00000095585",2.10534423028541e-06
"ENSG00000104043",0.000675471987064191
