"","Factor 1","Factor 2","Factor 3","Factor 4"
"cg23091104",-0.0297086127102375,0.0075205028988421,-0.0188278928399086,0.000458365946542472
"cg23057992",-0.00822020415216684,-0.00914093386381865,-0.0111198667436838,-1.11846875370247e-05
"cg14769786",0.409707903862,-0.0297804400324821,-0.0270857270807028,8.79688968780101e-07
"cg11738485",0.0309714917093515,-0.0131393261253834,-0.0059735463000834,-0.000862613262142986
"cg18873530",0.422700941562653,-0.025092288851738,0.00262847798876464,9.50446974457009e-06
"cg20686479",0.427210658788681,-0.0200352258980274,-0.000124633414088748,1.16036835606792e-06
"cg13506653",0.420586824417114,-0.00566093157976866,-0.000175560315256007,-2.02540159079945e-05
"cg22747897",0.402360618114471,0.0108878994360566,0.000807625241577625,-8.02354918505443e-07
"cg02353165",0.426612108945847,-0.00308494968339801,0.0112245623022318,-1.85769349627662e-05
"cg05552183",0.420436680316925,-0.000799201719928533,0.00791942793875933,-6.21462368144421e-06
"cg18222083",0.418020665645599,0.0361218303442001,0.0148164965212345,1.3311344559952e-07
"cg16602369",-0.0193763356655836,-0.028414648026228,-0.0686336308717728,8.12809375929646e-05
"cg23520075",0.362096190452576,-0.0701519623398781,0.0571084022521973,-0.000677168427500874
"cg04571941",0.0572806522250175,0.00951704103499651,0.00120228121522814,8.88472495716996e-05
"cg10884288",0.417280107736588,-0.0097098620608449,0.0101529667153955,-3.82161560992245e-05
"cg22621695",-0.0876732841134071,-0.100156150758266,-0.105143792927265,-1.28278352349298e-05
"cg10554839",-0.0893497094511986,-0.072716124355793,-0.0996751338243484,0.0011796560138464
"cg26705720",0.426715880632401,0.00584961613640189,0.0199685581028461,2.87295715679647e-05
"cg16848054",0.433500438928604,-0.0291309617459774,-0.00236386619508266,1.38754683121078e-06
"cg22932336",0.382761061191559,0.0186471045017242,-0.0470297075808048,1.24481612147065e-05
"cg00467244",0.422502070665359,0.000849179574288428,0.000291306525468826,-8.60289219417609e-06
"cg25813864",0.42695540189743,-0.0012881908332929,0.00995843298733234,4.598441591952e-06
"cg00907288",0.398042768239975,-0.0235422272235155,-0.0011443787952885,4.86192584503442e-06
"cg07346310",0.408046752214432,-0.0250180773437023,-0.00566165801137686,6.98724852554733e-06
"cg13635007",0.393342733383179,0.00268995482474566,-0.0393649823963642,-4.89638068756904e-06
"cg17222941",0.407011359930038,-0.00755258370190859,-0.00283879041671753,0.000162875294336118
"cg05660436",0.410497218370438,-0.0455997101962566,0.0488740056753159,3.61071615770925e-05
"cg08442798",0.428049802780151,0.0209827944636345,0.0239293854683638,2.31137109949486e-05
"cg14018731",0.429704278707504,-0.0329860597848892,-0.00328893284313381,3.9995284168981e-06
"cg26572488",0.419838815927505,-0.00691695045679808,0.020261786878109,4.61773743154481e-06
"cg04976780",0.421437799930573,-0.00126977346371859,-0.000204306983505376,1.29238651425112e-05
"cg24077454",-0.0621915757656097,-0.0461019724607468,-0.0278884898871183,0.000162588272360153
"cg03356595",0.427386820316315,-0.0255317855626345,0.0010114727774635,1.99539354071021e-05
"cg25467973",0.43321830034256,-0.0319904461503029,0.0304140504449606,6.92251319378556e-07
"cg25906220",0.407863348722458,0.019274702295661,0.00352722080424428,1.00860015663784e-05
"cg27294816",0.374113351106644,-0.0480509325861931,0.0660675317049026,-0.000412991445045918
"cg15673034",0.415794849395752,-0.000657821830827743,-0.000120533608424012,2.01254442799836e-05
"cg25221442",0.4134261906147,0.00150010536890477,0.022105360403657,-1.90415212273365e-05
"cg17073273",0.420248955488205,-0.0172001793980598,0.000155514775542542,5.355104804039e-05
"cg00474080",0.423702538013458,0.017821192741394,0.0237681567668915,4.51277519459836e-05
"cg23057706",0.428803384304047,-0.0383625440299511,0.00407759239897132,-8.74681700224755e-06
"cg06706894",0.411504089832306,-0.032733578234911,-0.0303188301622868,-3.90851055271924e-05
"cg25791973",0.373084187507629,-0.0323051624000072,0.0837174355983734,-0.000394770031562075
"cg10064339",0.419495165348053,-0.000162088399520144,0.0214427504688501,1.70209641510155e-05
"cg06933574",0.39967092871666,0.0570051483809948,0.0267727542668581,2.54586411756463e-05
"cg08901662",0.410137444734573,-0.0197858046740294,-0.00293639651499689,-1.52058546518674e-05
"cg22409276",0.404987275600433,0.0509018860757351,0.0457020960748196,3.6418092349777e-05
