"","Factor 1","Factor 2","Factor 3","Factor 4"
"cg23091104",-0.0297437738627195,0.00792703218758106,-0.0190493520349264,0.000458316324511543
"cg23057992",-0.00818981230258942,-0.0093090096488595,-0.0121886366978288,-1.11248809844255e-05
"cg14769786",0.412606209516525,-0.0301884654909372,-0.028629831969738,9.41679161314823e-07
"cg11738485",0.0312318559736013,-0.0135434027761221,-0.00642276788130403,-0.000854004407301545
"cg18873530",0.425509631633759,-0.0258328523486853,0.00225196988321841,9.25223503145389e-06
"cg20686479",0.430050253868103,-0.0204303003847599,-0.000256290863035247,1.10808082354197e-06
"cg13506653",0.423363655805588,-0.00532316416501999,-0.000283301807940006,-2.02577302843565e-05
"cg22747897",0.405006915330887,0.0117796510457993,0.00077662558760494,-8.10366486803105e-07
"cg02353165",0.429357528686523,-0.00308146560564637,0.0107874264940619,-1.82980929821497e-05
"cg05552183",0.423189699649811,-0.000751014391425997,0.00755519652739167,-6.12340591032989e-06
"cg18222083",0.420678347349167,0.037804152816534,0.0154668046161532,1.26947412582012e-07
"cg16602369",-0.0190468598157167,-0.0283938124775887,-0.0720252469182014,8.08866680017672e-05
"cg23520075",0.364141285419464,-0.073663242161274,0.0568714551627636,-0.000675568240694702
"cg04571941",0.0576494410634041,0.00986228976398706,0.0013944583479315,8.81580635905266e-05
"cg10884288",0.419953376054764,-0.00985019560903311,0.0101144993677735,-3.79558332497254e-05
"cg22621695",-0.0874221473932266,-0.102878659963608,-0.110394492745399,-1.23612735478673e-05
"cg10554839",-0.0892089232802391,-0.0742899253964424,-0.103769578039646,0.00117488100659102
"cg26705720",0.429397881031036,0.00620169565081596,0.0202407948672771,2.85949190583779e-05
"cg16848054",0.436381727457047,-0.0298376716673374,-0.00302304583601654,1.41554744459427e-06
"cg22932336",0.385532021522522,0.0209436342120171,-0.048131950199604,1.24292346299626e-05
"cg00467244",0.425329893827438,0.00100582442246377,0.000244233408011496,-8.4231951404945e-06
"cg25813864",0.429726988077164,-0.00124165299348533,0.00948235858231783,4.6087534428807e-06
"cg00907288",0.400697439908981,-0.0239435117691755,-0.00159266078844666,4.61291028841515e-06
"cg07346310",0.410756319761276,-0.0253257844597101,-0.00649231253191829,6.98289932188345e-06
