"","P_Value"
"cg24041541",1.0991207943789e-14
"cg19070139",9.11715147822179e-13
"cg13727691",2.55359289269563e-10
"cg20826224",2.71337508017666e-10
"cg12630147",2.37773627453919e-07
"cg05163329",1.18971499318832e-12
"cg25604326",6.16282247456468e-10
"cg16590910",6.6250338548457e-10
"cg01764954",2.81188405892863e-11
"cg03974423",1.58806301442382e-12
"cg00428601",4.44480341421638e-10
"cg21174055",4.99909003082166e-11
"cg12604950",1.01585406753202e-13
"cg18276016",3.33066907387547e-16
"cg03609308",7.61524976411465e-09
"cg19113375",4.46614079052665e-10
"cg01818121",6.77236045021345e-14
"cg22230604",1.45889966773893e-11
"cg20525712",2.00395255944841e-13
"cg16483867",6.17251805223873e-11
"cg01338255",5.69544411632705e-14
"cg01843034",3.28079785560931e-11
"cg19998675",5.08657671538515e-10
"cg22451910",6.0680454772033e-08
"cg01118078",7.52842232998319e-13
"cg12907983",2.51410003926367e-12
"cg21940568",3.04911651483053e-12
"cg26448489",1.68533964561846e-10
"cg08409074",3.89344112505796e-12
"cg25251738",1.29618538124987e-12
"cg14852134",0.0104742050285873
"cg19809499",0.000232901926650708
"cg00884093",2.25786514596038e-07
"cg19544662",0.000121985763023358
"cg17203063",0.871192992598916
"cg02884176",0.000197416164305242
"cg06341513",0.29342003419802
"cg25958283",0.31998080927501
"cg24033330",4.97980794372799e-05
"cg07850527",5.67834921081367e-05
"cg02145932",7.62373183582632e-07
"cg12664209",2.04728568653501e-07
"cg10192893",5.45496869897022e-10
"cg09491991",4.44768221707914e-06
"cg26322248",9.73882602950393e-06
"cg24826867",1.53996457463723e-06
"cg18815943",0.000553256775933098
"cg25796439",6.2230060990931e-06
"cg14060111",1.76038610399942e-06
"cg01532168",1.05721419634275e-05
"cg18301891",5.10406383824602e-09
"cg06262436",3.84449277912591e-06
"cg21561970",6.0335159035585e-07
"cg08304190",5.9289229081827e-10
"cg24416513",2.87553428401921e-07
"cg24718971",5.50347602699119e-05
"cg11410023",0.00174623693233467
"cg27579953",0.499339386192249
"cg12450347",0.365802837934453
"cg09656848",0.0805672628905744
