"","P_Value"
"cg24041541",0
"cg19070139",0
"cg13727691",0
"cg20826224",0
"cg12630147",2.11719530796017e-13
"cg05163329",0
"cg25604326",0
"cg16590910",0
"cg01764954",0
"cg03974423",0
"cg00428601",0
"cg21174055",0
"cg12604950",0
"cg18276016",0
"cg03609308",2.22044604925031e-16
"cg19113375",0
"cg01818121",0
"cg22230604",0
"cg20525712",0
"cg16483867",0
"cg01338255",0
"cg01843034",0
"cg19998675",0
"cg22451910",1.4210854715202e-14
"cg01118078",0
"cg12907983",0
"cg21940568",0
"cg26448489",0
"cg08409074",0
"cg25251738",0
"cg14852134",0.000278805861209652
"cg19809499",1.7406230290451e-07
"cg00884093",2.1138646388863e-13
"cg19544662",4.89295626238118e-08
"cg17203063",0.817944161162048
"cg02884176",1.26007141720841e-07
"cg06341513",0.135768283523033
"cg25958283",0.157962100956453
"cg24033330",8.46872882931393e-09
"cg07850527",1.11577201922231e-08
"cg02145932",2.23931984066894e-12
"cg12664209",1.65201186064223e-13
"cg10192893",0
"cg09491991",7.29930560439129e-11
"cg26322248",3.41360051336892e-10
"cg24826867",9.15301168191718e-12
"cg18815943",9.42229439360176e-07
"cg25796439",1.41506251161161e-10
"cg14060111",1.16869847133216e-11
"cg01532168",3.97948674013548e-10
"cg18301891",1.11022302462516e-16
"cg06262436",5.44837508442697e-11
"cg21561970",1.39954714484247e-12
"cg08304190",0
"cg24416513",3.23185922468383e-13
"cg24718971",1.02843955573917e-08
"cg11410023",9.07011770423516e-06
"cg27579953",0.337727229704191
"cg12450347",0.199093417190371
"cg09656848",0.0131059557383076
